




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_background.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_background.txt - REFLIST (18060)	upload_1 (4777)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of interleukin-1 beta production (GO:0032651)	83	16	21.95	-	.73	1.18E-01
male meiosis I (GO:0007141)	26	5	6.88	-	.73	3.16E-01
negative regulation of receptor signaling pathway via STAT (GO:1904893)	26	5	6.88	-	.73	3.16E-01
CD4-positive, alpha-beta T cell activation (GO:0035710)	52	10	13.75	-	.73	1.92E-01
ribosomal large subunit assembly (GO:0000027)	26	5	6.88	-	.73	3.16E-01
labyrinthine layer blood vessel development (GO:0060716)	26	5	6.88	-	.73	3.16E-01
nucleotide-excision repair (GO:0006289)	47	9	12.43	-	.72	2.06E-01
regulation of receptor signaling pathway via STAT (GO:1904892)	94	18	24.86	-	.72	9.58E-02
sperm motility (GO:0097722)	94	18	24.86	-	.72	9.58E-02
spermatid nucleus differentiation (GO:0007289)	21	4	5.55	-	.72	3.49E-01
activation of adenylate cyclase activity (GO:0007190)	21	4	5.55	-	.72	3.49E-01
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	105	20	27.77	-	.72	7.80E-02
phosphatidylserine metabolic process (GO:0006658)	21	4	5.55	-	.72	3.49E-01
auditory receptor cell stereocilium organization (GO:0060088)	21	4	5.55	-	.72	3.49E-01
oocyte differentiation (GO:0009994)	42	8	11.11	-	.72	2.22E-01
anatomical structure arrangement (GO:0048532)	21	4	5.55	-	.72	3.49E-01
negative regulation of immune response (GO:0050777)	189	36	49.99	-	.72	2.33E-02
response to muscle stretch (GO:0035994)	21	4	5.55	-	.72	3.49E-01
notochord development (GO:0030903)	21	4	5.55	-	.72	3.49E-01
ATP-dependent chromatin remodeling (GO:0043044)	42	8	11.11	-	.72	2.22E-01
response to auditory stimulus (GO:0010996)	21	4	5.55	-	.72	3.49E-01
positive regulation of dendrite development (GO:1900006)	21	4	5.55	-	.72	3.49E-01
decidualization (GO:0046697)	21	4	5.55	-	.72	3.49E-01
response to prostaglandin (GO:0034694)	21	4	5.55	-	.72	3.49E-01
regulation of B cell apoptotic process (GO:0002902)	21	4	5.55	-	.72	3.49E-01
T-helper 1 type immune response (GO:0042088)	21	4	5.55	-	.72	3.49E-01
negative regulation of natural killer cell mediated cytotoxicity (GO:0045953)	21	4	5.55	-	.72	3.49E-01
pulmonary valve development (GO:0003177)	21	4	5.55	-	.72	3.49E-01
positive regulation of peptidyl-lysine acetylation (GO:2000758)	37	7	9.79	-	.72	2.40E-01
female meiotic nuclear division (GO:0007143)	37	7	9.79	-	.72	2.40E-01
epidermal cell differentiation (GO:0009913)	148	28	39.15	-	.72	3.85E-02
regulation of presynapse assembly (GO:1905606)	37	7	9.79	-	.72	2.40E-01
hydrogen peroxide metabolic process (GO:0042743)	37	7	9.79	-	.72	2.40E-01
regulation of microtubule depolymerization (GO:0031114)	37	7	9.79	-	.72	2.40E-01
cardiac muscle cell action potential (GO:0086001)	37	7	9.79	-	.72	2.40E-01
flagellated sperm motility (GO:0030317)	90	17	23.81	-	.71	9.27E-02
negative regulation of Ras protein signal transduction (GO:0046580)	53	10	14.02	-	.71	1.74E-01
negative regulation of innate immune response (GO:0045824)	69	13	18.25	-	.71	1.30E-01
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	16	3	4.23	-	.71	3.89E-01
G protein-coupled glutamate receptor signaling pathway (GO:0007216)	16	3	4.23	-	.71	3.89E-01
cardiac muscle cell proliferation (GO:0060038)	16	3	4.23	-	.71	3.89E-01
positive regulation of protein sumoylation (GO:0033235)	16	3	4.23	-	.71	3.89E-01
regulation of cell proliferation involved in kidney development (GO:1901722)	16	3	4.23	-	.71	3.89E-01
regulation of interleukin-4 production (GO:0032673)	32	6	8.46	-	.71	2.60E-01
interferon-gamma production (GO:0032609)	16	3	4.23	-	.71	3.89E-01
cellular response to prostaglandin stimulus (GO:0071379)	16	3	4.23	-	.71	3.89E-01
macrophage chemotaxis (GO:0048246)	16	3	4.23	-	.71	3.89E-01
eosinophil chemotaxis (GO:0048245)	16	3	4.23	-	.71	3.89E-01
CD4-positive, alpha-beta T cell lineage commitment (GO:0043373)	16	3	4.23	-	.71	3.89E-01
drug catabolic process (GO:0042737)	48	9	12.70	-	.71	1.86E-01
superoxide anion generation (GO:0042554)	16	3	4.23	-	.71	3.89E-01
cardiac muscle cell action potential involved in contraction (GO:0086002)	32	6	8.46	-	.71	2.60E-01
ionotropic glutamate receptor signaling pathway (GO:0035235)	16	3	4.23	-	.71	3.89E-01
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	16	3	4.23	-	.71	3.89E-01
spongiotrophoblast layer development (GO:0060712)	16	3	4.23	-	.71	3.89E-01
reciprocal meiotic recombination (GO:0007131)	43	8	11.37	-	.70	2.00E-01
reciprocal homologous recombination (GO:0140527)	43	8	11.37	-	.70	2.00E-01
negative regulation of immune effector process (GO:0002698)	124	23	32.80	-	.70	4.59E-02
apoptotic process involved in development (GO:1902742)	27	5	7.14	-	.70	2.83E-01
ATP biosynthetic process (GO:0006754)	27	5	7.14	-	.70	2.83E-01
regulation of protein sumoylation (GO:0033233)	27	5	7.14	-	.70	2.83E-01
intermediate filament organization (GO:0045109)	27	5	7.14	-	.70	2.83E-01
response to interleukin-6 (GO:0070741)	27	5	7.14	-	.70	2.83E-01
synaptic membrane adhesion (GO:0099560)	27	5	7.14	-	.70	2.83E-01
icosanoid secretion (GO:0032309)	27	5	7.14	-	.70	2.83E-01
DNA synthesis involved in DNA repair (GO:0000731)	27	5	7.14	-	.70	2.83E-01
aminoglycan catabolic process (GO:0006026)	27	5	7.14	-	.70	2.83E-01
axonemal dynein complex assembly (GO:0070286)	27	5	7.14	-	.70	2.83E-01
cerebral cortex neuron differentiation (GO:0021895)	27	5	7.14	-	.70	2.83E-01
arachidonic acid metabolic process (GO:0019369)	65	12	17.19	-	.70	1.25E-01
aerobic electron transport chain (GO:0019646)	38	7	10.05	-	.70	2.15E-01
positive regulation of nervous system process (GO:0031646)	49	9	12.96	-	.69	1.68E-01
cell fate commitment (GO:0045165)	258	47	68.24	-	.69	3.98E-03
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	33	6	8.73	-	.69	2.32E-01
startle response (GO:0001964)	33	6	8.73	-	.69	2.32E-01
double-strand break repair via nonhomologous end joining (GO:0006303)	33	6	8.73	-	.69	2.32E-01
semi-lunar valve development (GO:1905314)	33	6	8.73	-	.69	2.32E-01
chromosome organization involved in meiotic cell cycle (GO:0070192)	66	12	17.46	-	.69	1.13E-01
regulation of T cell tolerance induction (GO:0002664)	11	2	2.91	-	.69	4.44E-01
trachea development (GO:0060438)	22	4	5.82	-	.69	3.10E-01
regulation of autophagy of mitochondrion (GO:1903146)	22	4	5.82	-	.69	3.10E-01
egg activation (GO:0007343)	11	2	2.91	-	.69	4.44E-01
regulation of systemic arterial blood pressure by circulatory renin-angiotensin (GO:0001991)	11	2	2.91	-	.69	4.44E-01
regulation of organelle transport along microtubule (GO:1902513)	11	2	2.91	-	.69	4.44E-01
natural killer cell activation involved in immune response (GO:0002323)	22	4	5.82	-	.69	3.10E-01
positive regulation of Arp2/3 complex-mediated actin nucleation (GO:2000601)	11	2	2.91	-	.69	4.44E-01
Fc receptor signaling pathway (GO:0038093)	11	2	2.91	-	.69	4.44E-01
response to amine (GO:0014075)	22	4	5.82	-	.69	3.10E-01
meiotic sister chromatid segregation (GO:0045144)	11	2	2.91	-	.69	4.44E-01
regulation of interleukin-1 alpha production (GO:0032650)	11	2	2.91	-	.69	4.44E-01
T-helper 1 cell differentiation (GO:0045063)	11	2	2.91	-	.69	4.44E-01
regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning (GO:1901620)	11	2	2.91	-	.69	4.44E-01
protein-chromophore linkage (GO:0018298)	11	2	2.91	-	.69	4.44E-01
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)	11	2	2.91	-	.69	4.44E-01
glycerol-3-phosphate metabolic process (GO:0006072)	11	2	2.91	-	.69	4.44E-01
positive regulation of kidney development (GO:0090184)	11	2	2.91	-	.69	4.44E-01
lipid digestion (GO:0044241)	11	2	2.91	-	.69	4.44E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	11	2	2.91	-	.69	4.44E-01
regulation of oligodendrocyte progenitor proliferation (GO:0070445)	11	2	2.91	-	.69	4.44E-01
regulation of timing of cell differentiation (GO:0048505)	11	2	2.91	-	.69	4.44E-01
presynaptic modulation of chemical synaptic transmission (GO:0099171)	11	2	2.91	-	.69	4.44E-01
postsynaptic modulation of chemical synaptic transmission (GO:0099170)	22	4	5.82	-	.69	3.10E-01
regulation of appetite (GO:0032098)	22	4	5.82	-	.69	3.10E-01
mitophagy (GO:0000423)	11	2	2.91	-	.69	4.44E-01
meiotic sister chromatid cohesion (GO:0051177)	11	2	2.91	-	.69	4.44E-01
amyloid fibril formation (GO:1990000)	11	2	2.91	-	.69	4.44E-01
sarcoplasmic reticulum calcium ion transport (GO:0070296)	11	2	2.91	-	.69	4.44E-01
positive regulation of leukocyte adhesion to vascular endothelial cell (GO:1904996)	22	4	5.82	-	.69	3.10E-01
homologous recombination (GO:0035825)	44	8	11.64	-	.69	1.80E-01
inhibitory synapse assembly (GO:1904862)	11	2	2.91	-	.69	4.44E-01
Rac protein signal transduction (GO:0016601)	22	4	5.82	-	.69	3.10E-01
M phase (GO:0000279)	11	2	2.91	-	.69	4.44E-01
single strand break repair (GO:0000012)	11	2	2.91	-	.69	4.44E-01
negative regulation of histone methylation (GO:0031061)	22	4	5.82	-	.69	3.10E-01
AV node cell to bundle of His cell communication (GO:0086067)	11	2	2.91	-	.69	4.44E-01
atrial cardiac muscle cell to AV node cell communication (GO:0086066)	11	2	2.91	-	.69	4.44E-01
cell-cell signaling involved in cardiac conduction (GO:0086019)	22	4	5.82	-	.69	3.10E-01
extraembryonic membrane development (GO:1903867)	11	2	2.91	-	.69	4.44E-01
regulation of intestinal cholesterol absorption (GO:0030300)	11	2	2.91	-	.69	4.44E-01
regulation of epithelial cell proliferation involved in prostate gland development (GO:0060768)	11	2	2.91	-	.69	4.44E-01
response to hydroxyurea (GO:0072710)	11	2	2.91	-	.69	4.44E-01
negative regulation of myeloid leukocyte mediated immunity (GO:0002887)	11	2	2.91	-	.69	4.44E-01
negative regulation of heart rate (GO:0010459)	11	2	2.91	-	.69	4.44E-01
positive regulation of cell maturation (GO:1903431)	11	2	2.91	-	.69	4.44E-01
regulation of secondary heart field cardioblast proliferation (GO:0003266)	11	2	2.91	-	.69	4.44E-01
regulation of Arp2/3 complex-mediated actin nucleation (GO:0034315)	22	4	5.82	-	.69	3.10E-01
negative regulation of cytokine production involved in immune response (GO:0002719)	22	4	5.82	-	.69	3.10E-01
negative regulation of natural killer cell mediated immunity (GO:0002716)	22	4	5.82	-	.69	3.10E-01
aortic valve morphogenesis (GO:0003180)	22	4	5.82	-	.69	3.10E-01
positive regulation of interleukin-1 beta production (GO:0032731)	55	10	14.55	-	.69	1.42E-01
oogenesis (GO:0048477)	83	15	21.95	-	.68	7.78E-02
T cell activation involved in immune response (GO:0002286)	72	13	19.04	-	.68	9.63E-02
regulation of acute inflammatory response (GO:0002673)	50	9	13.23	-	.68	1.51E-01
T cell differentiation involved in immune response (GO:0002292)	39	7	10.32	-	.68	1.93E-01
positive regulation of cell killing (GO:0031343)	78	14	20.63	-	.68	8.22E-02
detection of stimulus (GO:0051606)	263	47	69.57	-	.68	2.51E-03
pericardium development (GO:0060039)	28	5	7.41	-	.68	2.52E-01
regulation of NMDA receptor activity (GO:2000310)	28	5	7.41	-	.68	2.52E-01
chromosome separation (GO:0051304)	28	5	7.41	-	.68	2.52E-01
aromatic amino acid family metabolic process (GO:0009072)	28	5	7.41	-	.68	2.52E-01
keratinocyte differentiation (GO:0030216)	84	15	22.22	-	.68	7.03E-02
positive regulation of nitric oxide biosynthetic process (GO:0045429)	45	8	11.90	-	.67	1.61E-01
forelimb morphogenesis (GO:0035136)	45	8	11.90	-	.67	1.61E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	124	22	32.80	-	.67	2.99E-02
triglyceride catabolic process (GO:0019433)	17	3	4.50	-	.67	3.43E-01
negative regulation of type I interferon-mediated signaling pathway (GO:0060339)	17	3	4.50	-	.67	3.43E-01
regulation of CD8-positive, alpha-beta T cell activation (GO:2001185)	17	3	4.50	-	.67	3.43E-01
regulation of endocytic recycling (GO:2001135)	17	3	4.50	-	.67	3.43E-01
prepulse inhibition (GO:0060134)	17	3	4.50	-	.67	3.43E-01
negative regulation of microtubule depolymerization (GO:0007026)	34	6	8.99	-	.67	2.07E-01
microtubule depolymerization (GO:0007019)	17	3	4.50	-	.67	3.43E-01
regulation of defense response to bacterium (GO:1900424)	17	3	4.50	-	.67	3.43E-01
anaphase-promoting complex-dependent catabolic process (GO:0031145)	17	3	4.50	-	.67	3.43E-01
ventricular cardiac muscle cell differentiation (GO:0055012)	17	3	4.50	-	.67	3.43E-01
negative regulation of humoral immune response (GO:0002921)	17	3	4.50	-	.67	3.43E-01
eosinophil migration (GO:0072677)	17	3	4.50	-	.67	3.43E-01
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	17	3	4.50	-	.67	3.43E-01
pulmonary valve morphogenesis (GO:0003184)	17	3	4.50	-	.67	3.43E-01
NADH dehydrogenase complex assembly (GO:0010257)	46	8	12.17	-	.66	1.44E-01
negative regulation of stem cell differentiation (GO:2000737)	23	4	6.08	-	.66	2.74E-01
mitochondrial respiratory chain complex I assembly (GO:0032981)	46	8	12.17	-	.66	1.44E-01
regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033139)	23	4	6.08	-	.66	2.74E-01
regulation of membrane protein ectodomain proteolysis (GO:0051043)	23	4	6.08	-	.66	2.74E-01
negative regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043371)	23	4	6.08	-	.66	2.74E-01
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	46	8	12.17	-	.66	1.44E-01
ATP synthesis coupled electron transport (GO:0042773)	46	8	12.17	-	.66	1.44E-01
inner ear auditory receptor cell differentiation (GO:0042491)	46	8	12.17	-	.66	1.44E-01
left/right pattern formation (GO:0060972)	23	4	6.08	-	.66	2.74E-01
centromere complex assembly (GO:0034508)	23	4	6.08	-	.66	2.74E-01
regulation of regulatory T cell differentiation (GO:0045589)	29	5	7.67	-	.65	2.23E-01
receptor signaling pathway via JAK-STAT (GO:0007259)	35	6	9.26	-	.65	1.84E-01
negative regulation of interferon-gamma production (GO:0032689)	35	6	9.26	-	.65	1.84E-01
chromosome condensation (GO:0030261)	35	6	9.26	-	.65	1.84E-01
neuron maturation (GO:0042551)	41	7	10.84	-	.65	1.53E-01
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	88	15	23.28	-	.64	4.61E-02
exogenous drug catabolic process (GO:0042738)	47	8	12.43	-	.64	1.28E-01
regulation of tolerance induction (GO:0002643)	18	3	4.76	-	.63	3.00E-01
preganglionic parasympathetic fiber development (GO:0021783)	18	3	4.76	-	.63	3.00E-01
toll-like receptor 4 signaling pathway (GO:0034142)	18	3	4.76	-	.63	3.00E-01
regulation of ventricular cardiac muscle cell membrane repolarization (GO:0060307)	18	3	4.76	-	.63	3.00E-01
positive regulation of chromosome separation (GO:1905820)	18	3	4.76	-	.63	3.00E-01
kinetochore organization (GO:0051383)	18	3	4.76	-	.63	3.00E-01
detection of other organism (GO:0098543)	18	3	4.76	-	.63	3.00E-01
outer dynein arm assembly (GO:0036158)	18	3	4.76	-	.63	3.00E-01
regulation of granulocyte differentiation (GO:0030852)	18	3	4.76	-	.63	3.00E-01
receptor signaling pathway via STAT (GO:0097696)	36	6	9.52	-	.63	1.63E-01
detection of bacterium (GO:0016045)	18	3	4.76	-	.63	3.00E-01
embryonic forelimb morphogenesis (GO:0035115)	36	6	9.52	-	.63	1.63E-01
response to prostaglandin E (GO:0034695)	18	3	4.76	-	.63	3.00E-01
DNA strand elongation (GO:0022616)	18	3	4.76	-	.63	3.00E-01
negative regulation of histone acetylation (GO:0035067)	18	3	4.76	-	.63	3.00E-01
branchiomotor neuron axon guidance (GO:0021785)	6	1	1.59	-	.63	5.29E-01
negative regulation of cardiac muscle hypertrophy in response to stress (GO:1903243)	6	1	1.59	-	.63	5.29E-01
melanosome assembly (GO:1903232)	6	1	1.59	-	.63	5.29E-01
renal control of peripheral vascular resistance involved in regulation of systemic arterial blood pressure (GO:0003072)	6	1	1.59	-	.63	5.29E-01
regulation of forebrain neuron differentiation (GO:2000977)	6	1	1.59	-	.63	5.29E-01
regulation of maintenance of mitotic sister chromatid cohesion (GO:0034182)	6	1	1.59	-	.63	5.29E-01
regulation of sterol import (GO:2000909)	6	1	1.59	-	.63	5.29E-01
negative regulation of lamellipodium organization (GO:1902744)	6	1	1.59	-	.63	5.29E-01
negative regulation of toll-like receptor 2 signaling pathway (GO:0034136)	6	1	1.59	-	.63	5.29E-01
positive regulation of antigen processing and presentation (GO:0002579)	12	2	3.17	-	.63	3.85E-01
tolerance induction to self antigen (GO:0002513)	6	1	1.59	-	.63	5.29E-01
cell-cell adhesion mediated by integrin (GO:0033631)	6	1	1.59	-	.63	5.29E-01
regulation of metanephric nephron tubule epithelial cell differentiation (GO:0072307)	6	1	1.59	-	.63	5.29E-01
regulation of grooming behavior (GO:2000821)	6	1	1.59	-	.63	5.29E-01
methylguanosine-cap decapping (GO:0110156)	12	2	3.17	-	.63	3.85E-01
purine nucleoside bisphosphate catabolic process (GO:0034034)	6	1	1.59	-	.63	5.29E-01
ribonucleoside bisphosphate catabolic process (GO:0034031)	6	1	1.59	-	.63	5.29E-01
regulation of cell proliferation in bone marrow (GO:0071863)	12	2	3.17	-	.63	3.85E-01
acute inflammatory response to antigenic stimulus (GO:0002438)	12	2	3.17	-	.63	3.85E-01
Fc receptor mediated stimulatory signaling pathway (GO:0002431)	6	1	1.59	-	.63	5.29E-01
lactate biosynthetic process (GO:0019249)	6	1	1.59	-	.63	5.29E-01
neural tube patterning (GO:0021532)	42	7	11.11	-	.63	1.36E-01
positive regulation of respiratory burst (GO:0060267)	6	1	1.59	-	.63	5.29E-01
regulation of respiratory burst involved in inflammatory response (GO:0060264)	6	1	1.59	-	.63	5.29E-01
regulation of hippocampal neuron apoptotic process (GO:0110089)	6	1	1.59	-	.63	5.29E-01
polyphosphate catabolic process (GO:0006798)	6	1	1.59	-	.63	5.29E-01
polyphosphate metabolic process (GO:0006797)	6	1	1.59	-	.63	5.29E-01
glutathione catabolic process (GO:0006751)	6	1	1.59	-	.63	5.29E-01
pre-B cell differentiation (GO:0002329)	6	1	1.59	-	.63	5.29E-01
tumor necrosis factor superfamily cytokine production (GO:0071706)	6	1	1.59	-	.63	5.29E-01
NK T cell differentiation (GO:0001865)	6	1	1.59	-	.63	5.29E-01
metanephric tubule formation (GO:0072174)	6	1	1.59	-	.63	5.29E-01
regulation of glomerular mesangial cell proliferation (GO:0072124)	12	2	3.17	-	.63	3.85E-01
positive regulation of inositol trisphosphate biosynthetic process (GO:0032962)	6	1	1.59	-	.63	5.29E-01
positive regulation of chemokine (C-C motif) ligand 5 production (GO:0071651)	6	1	1.59	-	.63	5.29E-01
response to molecule of fungal origin (GO:0002238)	6	1	1.59	-	.63	5.29E-01
double-strand break repair involved in meiotic recombination (GO:1990918)	6	1	1.59	-	.63	5.29E-01
regulation of response to drug (GO:2001023)	6	1	1.59	-	.63	5.29E-01
inhibitory postsynaptic potential (GO:0060080)	12	2	3.17	-	.63	3.85E-01
oviduct development (GO:0060066)	6	1	1.59	-	.63	5.29E-01
multi-organism membrane organization (GO:0044803)	6	1	1.59	-	.63	5.29E-01
righting reflex (GO:0060013)	12	2	3.17	-	.63	3.85E-01
Sertoli cell differentiation (GO:0060008)	24	4	6.35	-	.63	2.41E-01
tyrosine metabolic process (GO:0006570)	12	2	3.17	-	.63	3.85E-01
threonine metabolic process (GO:0006566)	6	1	1.59	-	.63	5.29E-01
negative regulation of CREB transcription factor activity (GO:0032792)	6	1	1.59	-	.63	5.29E-01
Fc-gamma receptor signaling pathway (GO:0038094)	6	1	1.59	-	.63	5.29E-01
positive regulation of apoptotic cell clearance (GO:2000427)	6	1	1.59	-	.63	5.29E-01
apoptotic process involved in blood vessel morphogenesis (GO:1902262)	6	1	1.59	-	.63	5.29E-01
regulation of eosinophil migration (GO:2000416)	6	1	1.59	-	.63	5.29E-01
non-canonical Wnt signaling pathway via MAPK cascade (GO:0038030)	6	1	1.59	-	.63	5.29E-01
netrin-activated signaling pathway (GO:0038007)	6	1	1.59	-	.63	5.29E-01
paracrine signaling (GO:0038001)	6	1	1.59	-	.63	5.29E-01
auditory receptor cell morphogenesis (GO:0002093)	24	4	6.35	-	.63	2.41E-01
regulation of acetylcholine secretion, neurotransmission (GO:0014056)	6	1	1.59	-	.63	5.29E-01
osteoblast fate commitment (GO:0002051)	6	1	1.59	-	.63	5.29E-01
maintenance of blood vessel diameter homeostasis by renin-angiotensin (GO:0002034)	6	1	1.59	-	.63	5.29E-01
disaccharide metabolic process (GO:0005984)	6	1	1.59	-	.63	5.29E-01
intermediate filament bundle assembly (GO:0045110)	6	1	1.59	-	.63	5.29E-01
protein localization to endoplasmic reticulum exit site (GO:0070973)	6	1	1.59	-	.63	5.29E-01
fatty acid alpha-oxidation (GO:0001561)	6	1	1.59	-	.63	5.29E-01
glomerular visceral epithelial cell migration (GO:0090521)	6	1	1.59	-	.63	5.29E-01
regulation of CD40 signaling pathway (GO:2000348)	6	1	1.59	-	.63	5.29E-01
regulation of chemokine (C-X-C motif) ligand 1 production (GO:2000338)	6	1	1.59	-	.63	5.29E-01
tumor necrosis factor production (GO:0032640)	6	1	1.59	-	.63	5.29E-01
regulation of AMPA receptor activity (GO:2000311)	24	4	6.35	-	.63	2.41E-01
peptidyl-glutamine methylation (GO:0018364)	6	1	1.59	-	.63	5.29E-01
positive regulation of ceramide biosynthetic process (GO:2000304)	6	1	1.59	-	.63	5.29E-01
cellular response to caffeine (GO:0071313)	6	1	1.59	-	.63	5.29E-01
iron coordination entity transport (GO:1901678)	12	2	3.17	-	.63	3.85E-01
thymic T cell selection (GO:0045061)	24	4	6.35	-	.63	2.41E-01
regulation of immature T cell proliferation (GO:0033083)	12	2	3.17	-	.63	3.85E-01
protein insertion into mitochondrial inner membrane (GO:0045039)	6	1	1.59	-	.63	5.29E-01
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	6	1	1.59	-	.63	5.29E-01
peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine (GO:0018231)	24	4	6.35	-	.63	2.41E-01
peptidyl-L-cysteine S-palmitoylation (GO:0018230)	24	4	6.35	-	.63	2.41E-01
maintenance of centrosome location (GO:0051661)	6	1	1.59	-	.63	5.29E-01
regulation of heart induction (GO:0090381)	6	1	1.59	-	.63	5.29E-01
regulation of Cdc42 protein signal transduction (GO:0032489)	6	1	1.59	-	.63	5.29E-01
negative regulation of cytokinesis (GO:0032466)	6	1	1.59	-	.63	5.29E-01
polar body extrusion after meiotic divisions (GO:0040038)	6	1	1.59	-	.63	5.29E-01
cGMP biosynthetic process (GO:0006182)	12	2	3.17	-	.63	3.85E-01
peptidyl-cysteine S-nitrosylation (GO:0018119)	6	1	1.59	-	.63	5.29E-01
regulation of histone H3-K9 methylation (GO:0051570)	24	4	6.35	-	.63	2.41E-01
NADH oxidation (GO:0006116)	6	1	1.59	-	.63	5.29E-01
negative regulation of mitochondrial calcium ion concentration (GO:0051562)	6	1	1.59	-	.63	5.29E-01
malate metabolic process (GO:0006108)	6	1	1.59	-	.63	5.29E-01
response to parathyroid hormone (GO:0071107)	6	1	1.59	-	.63	5.29E-01
negative regulation of synaptic plasticity (GO:0031914)	6	1	1.59	-	.63	5.29E-01
positive regulation of histone H4 acetylation (GO:0090240)	6	1	1.59	-	.63	5.29E-01
regulation of mast cell proliferation (GO:0070666)	6	1	1.59	-	.63	5.29E-01
dendritic transport of messenger ribonucleoprotein complex (GO:0098963)	6	1	1.59	-	.63	5.29E-01
dendritic transport of ribonucleoprotein complex (GO:0098961)	6	1	1.59	-	.63	5.29E-01
regulation of membrane depolarization during action potential (GO:0098902)	6	1	1.59	-	.63	5.29E-01
positive regulation of sphingolipid biosynthetic process (GO:0090154)	6	1	1.59	-	.63	5.29E-01
sensory perception of umami taste (GO:0050917)	6	1	1.59	-	.63	5.29E-01
sensory perception of sweet taste (GO:0050916)	6	1	1.59	-	.63	5.29E-01
positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway (GO:0090080)	6	1	1.59	-	.63	5.29E-01
regulation of uterine smooth muscle contraction (GO:0070472)	12	2	3.17	-	.63	3.85E-01
nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070431)	6	1	1.59	-	.63	5.29E-01
nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423)	6	1	1.59	-	.63	5.29E-01
negative regulation of release of sequestered calcium ion into cytosol (GO:0051280)	12	2	3.17	-	.63	3.85E-01
regulation of asymmetric cell division (GO:0009786)	6	1	1.59	-	.63	5.29E-01
spindle elongation (GO:0051231)	6	1	1.59	-	.63	5.29E-01
replication fork protection (GO:0048478)	6	1	1.59	-	.63	5.29E-01
positive regulation of nuclease activity (GO:0032075)	6	1	1.59	-	.63	5.29E-01
DNA hypermethylation (GO:0044026)	6	1	1.59	-	.63	5.29E-01
negative regulation of translation in response to stress (GO:0032055)	6	1	1.59	-	.63	5.29E-01
regulation of histone H3-K36 methylation (GO:0000414)	6	1	1.59	-	.63	5.29E-01
response to immobilization stress (GO:0035902)	6	1	1.59	-	.63	5.29E-01
positive regulation of exit from mitosis (GO:0031536)	6	1	1.59	-	.63	5.29E-01
positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904925)	12	2	3.17	-	.63	3.85E-01
regulation of cellular carbohydrate catabolic process (GO:0043471)	12	2	3.17	-	.63	3.85E-01
negative regulation of lipoprotein lipase activity (GO:0051005)	6	1	1.59	-	.63	5.29E-01
determination of dorsal identity (GO:0048263)	6	1	1.59	-	.63	5.29E-01
alkanesulfonate transport (GO:0042918)	6	1	1.59	-	.63	5.29E-01
positive regulation of defense response to bacterium (GO:1900426)	12	2	3.17	-	.63	3.85E-01
regulation of memory T cell differentiation (GO:0043380)	6	1	1.59	-	.63	5.29E-01
negative regulation of mast cell degranulation (GO:0043305)	6	1	1.59	-	.63	5.29E-01
negative regulation of leukocyte degranulation (GO:0043301)	12	2	3.17	-	.63	3.85E-01
arachidonic acid secretion (GO:0050482)	24	4	6.35	-	.63	2.41E-01
histone dephosphorylation (GO:0016576)	6	1	1.59	-	.63	5.29E-01
protein autoprocessing (GO:0016540)	24	4	6.35	-	.63	2.41E-01
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	6	1	1.59	-	.63	5.29E-01
positive regulation of metallopeptidase activity (GO:1905050)	6	1	1.59	-	.63	5.29E-01
deoxyribonucleoside triphosphate catabolic process (GO:0009204)	6	1	1.59	-	.63	5.29E-01
drug transport (GO:0015893)	12	2	3.17	-	.63	3.85E-01
basic amino acid transport (GO:0015802)	12	2	3.17	-	.63	3.85E-01
G protein-coupled receptor signaling pathway involved in heart process (GO:0086103)	6	1	1.59	-	.63	5.29E-01
