




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4652)	upload_1 (3142)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
mRNA cis splicing, via spliceosome (GO:0045292)	14	7	9.46	-	.74	2.73E-01
ADP transport (GO:0015866)	6	3	4.05	-	.74	4.23E-01
reductive iron assimilation (GO:0033215)	6	3	4.05	-	.74	4.23E-01
pteridine-containing compound biosynthetic process (GO:0042559)	12	6	8.10	-	.74	3.00E-01
regulation of mitotic sister chromatid separation (GO:0010965)	34	17	22.96	-	.74	1.23E-01
positive regulation of peptidase activity (GO:0010952)	6	3	4.05	-	.74	4.23E-01
negative regulation of macroautophagy (GO:0016242)	10	5	6.75	-	.74	3.33E-01
signal peptide processing (GO:0006465)	10	5	6.75	-	.74	3.33E-01
negative regulation of filamentous growth of a population of unicellular organisms (GO:1900429)	6	3	4.05	-	.74	4.23E-01
regulation of histone H2B ubiquitination (GO:2001166)	6	3	4.05	-	.74	4.23E-01
dephosphorylation of RNA polymerase II C-terminal domain (GO:0070940)	6	3	4.05	-	.74	4.23E-01
regulation of phospholipid transport (GO:2001138)	6	3	4.05	-	.74	4.23E-01
galactose transmembrane transport (GO:0015757)	6	3	4.05	-	.74	4.23E-01
indole-containing compound biosynthetic process (GO:0042435)	6	3	4.05	-	.74	4.23E-01
cellular response to carbohydrate stimulus (GO:0071322)	10	5	6.75	-	.74	3.33E-01
copper ion import (GO:0015677)	10	5	6.75	-	.74	3.33E-01
negative regulation of mitotic sister chromatid segregation (GO:0033048)	18	9	12.16	-	.74	2.28E-01
negative regulation of sister chromatid segregation (GO:0033046)	18	9	12.16	-	.74	2.28E-01
ER-dependent peroxisome organization (GO:0032581)	6	3	4.05	-	.74	4.23E-01
endoplasmic reticulum localization (GO:0051643)	6	3	4.05	-	.74	4.23E-01
negative regulation of growth of unicellular organism as a thread of attached cells (GO:0070785)	6	3	4.05	-	.74	4.23E-01
regulation of formin-nucleated actin cable assembly (GO:0090337)	10	5	6.75	-	.74	3.33E-01
lipid storage (GO:0019915)	6	3	4.05	-	.74	4.23E-01
autophagosome organization (GO:1905037)	30	15	20.26	-	.74	1.43E-01
'de novo' NAD biosynthetic process (GO:0034627)	6	3	4.05	-	.74	4.23E-01
mitotic spindle checkpoint signaling (GO:0071174)	28	14	18.91	-	.74	1.54E-01
spindle assembly checkpoint signaling (GO:0071173)	18	9	12.16	-	.74	2.28E-01
regulation of cytokinesis, actomyosin contractile ring assembly (GO:2000431)	6	3	4.05	-	.74	4.23E-01
ketone biosynthetic process (GO:0042181)	14	7	9.46	-	.74	2.73E-01
regulation of clathrin-dependent endocytosis (GO:2000369)	6	3	4.05	-	.74	4.23E-01
response to pheromone triggering conjugation with cellular fusion (GO:0000749)	44	22	29.72	-	.74	8.72E-02
double-strand break repair via break-induced replication (GO:0000727)	22	11	14.86	-	.74	1.94E-01
meiotic DNA double-strand break processing (GO:0000706)	6	3	4.05	-	.74	4.23E-01
positive regulation of protein polymerization (GO:0032273)	30	15	20.26	-	.74	1.43E-01
positive regulation of actin cytoskeleton reorganization (GO:2000251)	6	3	4.05	-	.74	4.23E-01
regulation of actin cytoskeleton reorganization (GO:2000249)	6	3	4.05	-	.74	4.23E-01
regulation of invasive growth in response to glucose limitation (GO:2000217)	10	5	6.75	-	.74	3.33E-01
positive regulation of transcription by RNA polymerase I (GO:0045943)	20	10	13.51	-	.74	2.10E-01
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	18	9	12.16	-	.74	2.28E-01
meiotic chromosome separation (GO:0051307)	14	7	9.46	-	.74	2.73E-01
quinone biosynthetic process (GO:1901663)	14	7	9.46	-	.74	2.73E-01
quinone metabolic process (GO:1901661)	14	7	9.46	-	.74	2.73E-01
regulation of ribonucleoprotein complex localization (GO:2000197)	6	3	4.05	-	.74	4.23E-01
'de novo' NAD biosynthetic process from tryptophan (GO:0034354)	6	3	4.05	-	.74	4.23E-01
regulation of phospholipid translocation (GO:0061091)	6	3	4.05	-	.74	4.23E-01
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	18	9	12.16	-	.74	2.28E-01
negative regulation of mitotic nuclear division (GO:0045839)	18	9	12.16	-	.74	2.28E-01
regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619)	10	5	6.75	-	.74	3.33E-01
glycerol catabolic process (GO:0019563)	6	3	4.05	-	.74	4.23E-01
response to glucose (GO:0009749)	10	5	6.75	-	.74	3.33E-01
response to hexose (GO:0009746)	10	5	6.75	-	.74	3.33E-01
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522)	14	7	9.46	-	.74	2.73E-01
response to monosaccharide (GO:0034284)	10	5	6.75	-	.74	3.33E-01
indolalkylamine biosynthetic process (GO:0046219)	6	3	4.05	-	.74	4.23E-01
mitotic spindle orientation checkpoint signaling (GO:0031578)	12	6	8.10	-	.74	3.00E-01
spindle checkpoint signaling (GO:0031577)	28	14	18.91	-	.74	1.54E-01
carbon catabolite activation of transcription from RNA polymerase II promoter (GO:0000436)	22	11	14.86	-	.74	1.94E-01
pexophagy (GO:0000425)	6	3	4.05	-	.74	4.23E-01
negative regulation of chromosome separation (GO:1905819)	18	9	12.16	-	.74	2.28E-01
regulation of chromosome separation (GO:1905818)	34	17	22.96	-	.74	1.23E-01
positive regulation of transcription from RNA polymerase II promoter by pheromones (GO:0007329)	6	3	4.05	-	.74	4.23E-01
butanediol biosynthetic process (GO:0034079)	2	1	1.35	-	.74	6.09E-01
butanediol metabolic process (GO:0034077)	2	1	1.35	-	.74	6.09E-01
contractile ring contraction (GO:0036213)	2	1	1.35	-	.74	6.09E-01
cellular sodium ion homeostasis (GO:0006883)	2	1	1.35	-	.74	6.09E-01
protein-lipid complex subunit organization (GO:0071825)	4	2	2.70	-	.74	4.93E-01
oligopeptide transport (GO:0006857)	8	4	5.40	-	.74	3.73E-01
positive regulation of DNA binding (GO:0043388)	4	2	2.70	-	.74	4.93E-01
cobalt ion transport (GO:0006824)	2	1	1.35	-	.74	6.09E-01
histone glutamine methylation (GO:1990258)	2	1	1.35	-	.74	6.09E-01
DNA replication, Okazaki fragment processing (GO:0033567)	4	2	2.70	-	.74	4.93E-01
isopentenyl diphosphate biosynthetic process, mevalonate pathway (GO:0019287)	4	2	2.70	-	.74	4.93E-01
L-methionine salvage from S-adenosylmethionine (GO:0019284)	4	2	2.70	-	.74	4.93E-01
protein initiator methionine removal (GO:0070084)	2	1	1.35	-	.74	6.09E-01
glycine biosynthetic process from serine (GO:0019264)	2	1	1.35	-	.74	6.09E-01
glucose 1-phosphate metabolic process (GO:0019255)	2	1	1.35	-	.74	6.09E-01
vesicle targeting, to, from or within Golgi (GO:0048199)	2	1	1.35	-	.74	6.09E-01
Golgi vesicle budding (GO:0048194)	4	2	2.70	-	.74	4.93E-01
Rho protein signal transduction (GO:0007266)	8	4	5.40	-	.74	3.73E-01
negative regulation of signal transduction involved in conjugation with cellular fusion (GO:0060240)	2	1	1.35	-	.74	6.09E-01
nucleotide-excision repair involved in interstrand cross-link repair (GO:1901255)	2	1	1.35	-	.74	6.09E-01
regulation of signal transduction involved in conjugation with cellular fusion (GO:0060238)	2	1	1.35	-	.74	6.09E-01
fluoride transmembrane transport (GO:1903424)	2	1	1.35	-	.74	6.09E-01
response to water deprivation (GO:0009414)	2	1	1.35	-	.74	6.09E-01
glycol biosynthetic process (GO:0042845)	2	1	1.35	-	.74	6.09E-01
glycol metabolic process (GO:0042844)	2	1	1.35	-	.74	6.09E-01
response to cold (GO:0009409)	4	2	2.70	-	.74	4.93E-01
phosphatidylcholine acyl-chain remodeling (GO:0036151)	2	1	1.35	-	.74	6.09E-01
dihydrofolate biosynthetic process (GO:0006761)	2	1	1.35	-	.74	6.09E-01
glutathione biosynthetic process (GO:0006750)	2	1	1.35	-	.74	6.09E-01
regulation of alcohol biosynthetic process (GO:1902930)	4	2	2.70	-	.74	4.93E-01
protein localization to site of double-strand break (GO:1990166)	2	1	1.35	-	.74	6.09E-01
tetrahydrobiopterin biosynthetic process (GO:0006729)	2	1	1.35	-	.74	6.09E-01
terpenoid metabolic process (GO:0006721)	8	4	5.40	-	.74	3.73E-01
inactivation of MAPK activity (GO:0000188)	8	4	5.40	-	.74	3.73E-01
positive regulation of ion transport (GO:0043270)	2	1	1.35	-	.74	6.09E-01
oligopeptide transmembrane transport (GO:0035672)	8	4	5.40	-	.74	3.73E-01
protein localization to nuclear periphery (GO:1990139)	2	1	1.35	-	.74	6.09E-01
clathrin-coated vesicle cargo loading (GO:0035652)	2	1	1.35	-	.74	6.09E-01
nonribosomal peptide biosynthetic process (GO:0019184)	2	1	1.35	-	.74	6.09E-01
negative regulation of antisense RNA transcription (GO:0060195)	4	2	2.70	-	.74	4.93E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	4	2	2.70	-	.74	4.93E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	8	4	5.40	-	.74	3.73E-01
DNA damage response, detection of DNA damage (GO:0042769)	2	1	1.35	-	.74	6.09E-01
positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0036091)	2	1	1.35	-	.74	6.09E-01
regulation of protein maturation (GO:1903317)	2	1	1.35	-	.74	6.09E-01
flavin-containing compound biosynthetic process (GO:0042727)	8	4	5.40	-	.74	3.73E-01
membrane addition at site of cytokinesis (GO:0007107)	2	1	1.35	-	.74	6.09E-01
positive regulation of response to oxidative stress (GO:1902884)	2	1	1.35	-	.74	6.09E-01
triglyceride mobilization (GO:0006642)	2	1	1.35	-	.74	6.09E-01
vacuolar protein processing (GO:0006624)	8	4	5.40	-	.74	3.73E-01
protein initiator methionine removal involved in protein maturation (GO:0035551)	2	1	1.35	-	.74	6.09E-01
NAD transport (GO:0043132)	2	1	1.35	-	.74	6.09E-01
DNA dealkylation (GO:0035510)	2	1	1.35	-	.74	6.09E-01
single strand break repair (GO:0000012)	2	1	1.35	-	.74	6.09E-01
response to desiccation (GO:0009269)	2	1	1.35	-	.74	6.09E-01
septin ring disassembly (GO:0031107)	2	1	1.35	-	.74	6.09E-01
calcineurin-mediated signaling (GO:0097720)	2	1	1.35	-	.74	6.09E-01
guanosine-containing compound catabolic process (GO:1901069)	2	1	1.35	-	.74	6.09E-01
guanosine-containing compound metabolic process (GO:1901068)	2	1	1.35	-	.74	6.09E-01
pyrimidine deoxyribonucleoside triphosphate biosynthetic process (GO:0009212)	2	1	1.35	-	.74	6.09E-01
cellular response to water deprivation (GO:0042631)	2	1	1.35	-	.74	6.09E-01
copper ion export (GO:0060003)	2	1	1.35	-	.74	6.09E-01
negative regulation of response to salt stress (GO:1901001)	2	1	1.35	-	.74	6.09E-01
regulation of response to salt stress (GO:1901000)	2	1	1.35	-	.74	6.09E-01
glycine import into mitochondrion (GO:1904983)	2	1	1.35	-	.74	6.09E-01
sterol homeostasis (GO:0055092)	2	1	1.35	-	.74	6.09E-01
anion homeostasis (GO:0055081)	2	1	1.35	-	.74	6.09E-01
proline catabolic process (GO:0006562)	2	1	1.35	-	.74	6.09E-01
sodium ion homeostasis (GO:0055078)	2	1	1.35	-	.74	6.09E-01
cytoplasmic translational termination (GO:0002184)	2	1	1.35	-	.74	6.09E-01
arginine catabolic process (GO:0006527)	2	1	1.35	-	.74	6.09E-01
positive regulation of apoptotic process (GO:0043065)	2	1	1.35	-	.74	6.09E-01
borate transmembrane transport (GO:0035445)	4	2	2.70	-	.74	4.93E-01
dipeptide transmembrane transport (GO:0035442)	2	1	1.35	-	.74	6.09E-01
carnitine transport (GO:0015879)	2	1	1.35	-	.74	6.09E-01
regulation of histone deacetylation (GO:0031063)	4	2	2.70	-	.74	4.93E-01
establishment of protein-containing complex localization to telomere (GO:0097695)	4	2	2.70	-	.74	4.93E-01
pyrimidine nucleoside transport (GO:0015864)	2	1	1.35	-	.74	6.09E-01
negative regulation of histone modification (GO:0031057)	4	2	2.70	-	.74	4.93E-01
nucleoside transport (GO:0015858)	4	2	2.70	-	.74	4.93E-01
urea transport (GO:0015840)	2	1	1.35	-	.74	6.09E-01
amino-acid betaine transport (GO:0015838)	2	1	1.35	-	.74	6.09E-01
glycine transport (GO:0015816)	2	1	1.35	-	.74	6.09E-01
L-glutamate transmembrane transport (GO:0015813)	4	2	2.70	-	.74	4.93E-01
gamma-aminobutyric acid transport (GO:0015812)	2	1	1.35	-	.74	6.09E-01
mitotic DNA damage checkpoint signaling (GO:0044773)	16	8	10.81	-	.74	2.49E-01
acidic amino acid transport (GO:0015800)	4	2	2.70	-	.74	4.93E-01
phytochelatin biosynthetic process (GO:0046938)	2	1	1.35	-	.74	6.09E-01
phytochelatin metabolic process (GO:0046937)	2	1	1.35	-	.74	6.09E-01
pyrimidine nucleoside diphosphate biosynthetic process (GO:0009139)	2	1	1.35	-	.74	6.09E-01
negative regulation of ATPase activity (GO:0032780)	4	2	2.70	-	.74	4.93E-01
protein localization to actin cytoskeleton (GO:1903119)	2	1	1.35	-	.74	6.09E-01
hyperosmotic salinity response (GO:0042538)	2	1	1.35	-	.74	6.09E-01
negative regulation of peptidyl-lysine acetylation (GO:2000757)	2	1	1.35	-	.74	6.09E-01
cellular response to light stimulus (GO:0071482)	8	4	5.40	-	.74	3.73E-01
cellular response to X-ray (GO:0071481)	2	1	1.35	-	.74	6.09E-01
cellular response to gamma radiation (GO:0071480)	2	1	1.35	-	.74	6.09E-01
cellular response to desiccation (GO:0071465)	2	1	1.35	-	.74	6.09E-01
2-micrometer plasmid partitioning (GO:0030543)	4	2	2.70	-	.74	4.93E-01
negative regulation of histone H3-K14 acetylation (GO:0071441)	2	1	1.35	-	.74	6.09E-01
regulation of histone H3-K14 acetylation (GO:0071440)	2	1	1.35	-	.74	6.09E-01
regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion (GO:0010969)	2	1	1.35	-	.74	6.09E-01
negative regulation of glucose mediated signaling pathway (GO:1902660)	4	2	2.70	-	.74	4.93E-01
histone H3-K9 modification (GO:0061647)	2	1	1.35	-	.74	6.09E-01
positive regulation of endopeptidase activity (GO:0010950)	4	2	2.70	-	.74	4.93E-01
regulation of glucose mediated signaling pathway (GO:1902659)	4	2	2.70	-	.74	4.93E-01
positive regulation of hydrogen sulfide biosynthetic process (GO:1904828)	2	1	1.35	-	.74	6.09E-01
regulation of hydrogen sulfide biosynthetic process (GO:1904826)	2	1	1.35	-	.74	6.09E-01
cellular response to oleic acid (GO:0071400)	2	1	1.35	-	.74	6.09E-01
negative regulation of cellular hyperosmotic salinity response by negative regulation of transcription from RNA polymerase II promoter (GO:1900464)	2	1	1.35	-	.74	6.09E-01
guanosine metabolic process (GO:0008617)	2	1	1.35	-	.74	6.09E-01
tyrosyl-tRNA aminoacylation (GO:0006437)	2	1	1.35	-	.74	6.09E-01
tryptophanyl-tRNA aminoacylation (GO:0006436)	2	1	1.35	-	.74	6.09E-01
methionyl-tRNA aminoacylation (GO:0006431)	2	1	1.35	-	.74	6.09E-01
glycyl-tRNA aminoacylation (GO:0006426)	2	1	1.35	-	.74	6.09E-01
glutamyl-tRNA aminoacylation (GO:0006424)	2	1	1.35	-	.74	6.09E-01
carnitine transmembrane transport (GO:1902603)	2	1	1.35	-	.74	6.09E-01
protein K11-linked ubiquitination (GO:0070979)	4	2	2.70	-	.74	4.93E-01
cellular triglyceride homeostasis (GO:0035356)	2	1	1.35	-	.74	6.09E-01
NAD transmembrane transport (GO:0035352)	2	1	1.35	-	.74	6.09E-01
myo-inositol transport (GO:0015798)	4	2	2.70	-	.74	4.93E-01
glycerol-3-phosphate transmembrane transport (GO:0015794)	2	1	1.35	-	.74	6.09E-01
negative regulation of phospholipid transport (GO:2001139)	2	1	1.35	-	.74	6.09E-01
pentose transmembrane transport (GO:0015750)	4	2	2.70	-	.74	4.93E-01
positive regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001108)	2	1	1.35	-	.74	6.09E-01
anaerobic respiration (GO:0009061)	2	1	1.35	-	.74	6.09E-01
phosphoenolpyruvate transport (GO:0015714)	2	1	1.35	-	.74	6.09E-01
microtubule bundle formation (GO:0001578)	2	1	1.35	-	.74	6.09E-01
arsenite transport (GO:0015700)	2	1	1.35	-	.74	6.09E-01
protein localization to membrane raft (GO:1903044)	2	1	1.35	-	.74	6.09E-01
negative regulation of transcription regulatory region DNA binding (GO:2000678)	2	1	1.35	-	.74	6.09E-01
cellular response to fatty acid (GO:0071398)	2	1	1.35	-	.74	6.09E-01
cellular response to lipid (GO:0071396)	2	1	1.35	-	.74	6.09E-01
regulation of DNA replication termination (GO:2000621)	2	1	1.35	-	.74	6.09E-01
negative regulation of histone H3-K9 acetylation (GO:2000616)	2	1	1.35	-	.74	6.09E-01
regulation of histone H3-K9 acetylation (GO:2000615)	2	1	1.35	-	.74	6.09E-01
positive regulation of cell division (GO:0051781)	8	4	5.40	-	.74	3.73E-01
positive regulation of intracellular signal transduction (GO:1902533)	32	16	21.61	-	.74	1.33E-01
negative regulation of mitochondrion organization (GO:0010823)	4	2	2.70	-	.74	4.93E-01
cyclic threonylcarbamoyladenosine biosynthetic process (GO:0061504)	2	1	1.35	-	.74	6.09E-01
regulation of viral genome replication (GO:0045069)	2	1	1.35	-	.74	6.09E-01
meiotic gene conversion (GO:0006311)	2	1	1.35	-	.74	6.09E-01
protein import into peroxisome membrane (GO:0045046)	2	1	1.35	-	.74	6.09E-01
DNA dealkylation involved in DNA repair (GO:0006307)	2	1	1.35	-	.74	6.09E-01
DNA modification (GO:0006304)	2	1	1.35	-	.74	6.09E-01
plasma membrane fusion (GO:0045026)	2	1	1.35	-	.74	6.09E-01
positive regulation of protein exit from endoplasmic reticulum (GO:0070863)	2	1	1.35	-	.74	6.09E-01
negative regulation of transcription involved in G2/M transition of mitotic cell cycle (GO:0090419)	2	1	1.35	-	.74	6.09E-01
quaternary ammonium group transport (GO:0015697)	2	1	1.35	-	.74	6.09E-01
peptidyl-arginine omega-N-methylation (GO:0035247)	4	2	2.70	-	.74	4.93E-01
positive regulation of double-strand break repair via nonhomologous end joining (GO:2001034)	2	1	1.35	-	.74	6.09E-01
negative regulation of double-strand break repair via nonhomologous end joining (GO:2001033)	2	1	1.35	-	.74	6.09E-01
regulation of response to drug (GO:2001023)	4	2	2.70	-	.74	4.93E-01
[2Fe-2S] cluster assembly (GO:0044571)	2	1	1.35	-	.74	6.09E-01
secondary metabolite biosynthetic process (GO:0044550)	2	1	1.35	-	.74	6.09E-01
borate transport (GO:0046713)	4	2	2.70	-	.74	4.93E-01
histone H3-K4 demethylation, trimethyl-H3-K4-specific (GO:0034721)	2	1	1.35	-	.74	6.09E-01
histone H3-K4 demethylation (GO:0034720)	2	1	1.35	-	.74	6.09E-01
regulation of fatty acid biosynthetic process (GO:0042304)	2	1	1.35	-	.74	6.09E-01
regulation of ubiquinone biosynthetic process (GO:0010795)	2	1	1.35	-	.74	6.09E-01
regulation of mRNA export from nucleus (GO:0010793)	2	1	1.35	-	.74	6.09E-01
positive regulation of protein autoubiquitination (GO:1902499)	4	2	2.70	-	.74	4.93E-01
negative regulation of ubiquitin protein ligase activity (GO:1904667)	2	1	1.35	-	.74	6.09E-01
chloride transmembrane transport (GO:1902476)	2	1	1.35	-	.74	6.09E-01
DNA amplification (GO:0006277)	4	2	2.70	-	.74	4.93E-01
protein targeting to vacuole involved in autophagy (GO:0071211)	2	1	1.35	-	.74	6.09E-01
positive regulation of transcription from RNA polymerase II promoter by oleic acid (GO:0061429)	4	2	2.70	-	.74	4.93E-01
positive regulation of transcription by oleic acid (GO:0061421)	4	2	2.70	-	.74	4.93E-01
negative regulation of cell development (GO:0010721)	2	1	1.35	-	.74	6.09E-01
oligopeptide export from mitochondrion (GO:0090374)	2	1	1.35	-	.74	6.09E-01
positive regulation of glycerol transport (GO:0090372)	2	1	1.35	-	.74	6.09E-01
regulation of glycerol transport (GO:0090371)	2	1	1.35	-	.74	6.09E-01
positive regulation of transcription from RNA polymerase II promoter in response to glucose starvation (GO:0061406)	4	2	2.70	-	.74	4.93E-01
dTTP biosynthetic process (GO:0006235)	2	1	1.35	-	.74	6.09E-01
mitotic actomyosin contractile ring contraction (GO:1902404)	2	1	1.35	-	.74	6.09E-01
cytidine catabolic process (GO:0006216)	2	1	1.35	-	.74	6.09E-01
actomyosin contractile ring contraction (GO:0000916)	2	1	1.35	-	.74	6.09E-01
regulation of cell aging (GO:0090342)	4	2	2.70	-	.74	4.93E-01
L-aspartate transmembrane transport (GO:0070778)	2	1	1.35	-	.74	6.09E-01
regulation of protein deacetylation (GO:0090311)	4	2	2.70	-	.74	4.93E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	2	1	1.35	-	.74	6.09E-01
cAMP-mediated signaling (GO:0019933)	2	1	1.35	-	.74	6.09E-01
negative regulation of protein acetylation (GO:1901984)	2	1	1.35	-	.74	6.09E-01
positive regulation of cell cycle checkpoint (GO:1901978)	2	1	1.35	-	.74	6.09E-01
positive regulation of guanyl-nucleotide exchange factor activity (GO:1905099)	2	1	1.35	-	.74	6.09E-01
regulation of guanyl-nucleotide exchange factor activity (GO:1905097)	2	1	1.35	-	.74	6.09E-01
peptidyl-arginine methylation, to symmetrical-dimethyl arginine (GO:0019918)	2	1	1.35	-	.74	6.09E-01
regulation of (1->6)-beta-D-glucan biosynthetic process (GO:0060917)	2	1	1.35	-	.74	6.09E-01
actin filament-based transport (GO:0099515)	4	2	2.70	-	.74	4.93E-01
phosphoenolpyruvate transmembrane transport (GO:0089722)	2	1	1.35	-	.74	6.09E-01
DNA protection (GO:0042262)	2	1	1.35	-	.74	6.09E-01
L-histidine transmembrane transport (GO:0089709)	4	2	2.70	-	.74	4.93E-01
positive regulation of cytokinesis (GO:0032467)	8	4	5.40	-	.74	3.73E-01
resolution of recombination intermediates (GO:0071139)	2	1	1.35	-	.74	6.09E-01
regulation of single-species biofilm formation (GO:1900190)	2	1	1.35	-	.74	6.09E-01
positive regulation of histone H3-K4 methylation (GO:0051571)	2	1	1.35	-	.74	6.09E-01
negative regulation of clathrin-dependent endocytosis (GO:1900186)	2	1	1.35	-	.74	6.09E-01
protein K48-linked deubiquitination (GO:0071108)	2	1	1.35	-	.74	6.09E-01
regulation of fatty acid beta-oxidation (GO:0031998)	2	1	1.35	-	.74	6.09E-01
positive regulation of transcription involved in G2/M transition of mitotic cell cycle (GO:0090282)	2	1	1.35	-	.74	6.09E-01
positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)	4	2	2.70	-	.74	4.93E-01
inosine catabolic process (GO:0006148)	2	1	1.35	-	.74	6.09E-01
positive regulation of protein autophosphorylation (GO:0031954)	2	1	1.35	-	.74	6.09E-01
regulation of protein autophosphorylation (GO:0031952)	2	1	1.35	-	.74	6.09E-01
oxaloacetate metabolic process (GO:0006107)	2	1	1.35	-	.74	6.09E-01
negative regulation of histone acetylation (GO:0035067)	2	1	1.35	-	.74	6.09E-01
citrate metabolic process (GO:0006101)	2	1	1.35	-	.74	6.09E-01
positive regulation of endoplasmic reticulum unfolded protein response (GO:1900103)	2	1	1.35	-	.74	6.09E-01
positive regulation of lipid kinase activity (GO:0090218)	2	1	1.35	-	.74	6.09E-01
regulation of triglyceride metabolic process (GO:0090207)	4	2	2.70	-	.74	4.93E-01
pyridine nucleoside metabolic process (GO:0070637)	2	1	1.35	-	.74	6.09E-01
XMP biosynthetic process (GO:0097293)	2	1	1.35	-	.74	6.09E-01
XMP metabolic process (GO:0097292)	2	1	1.35	-	.74	6.09E-01
regulation of protein processing (GO:0070613)	2	1	1.35	-	.74	6.09E-01
regulation of cellular response to osmotic stress (GO:0106049)	2	1	1.35	-	.74	6.09E-01
positive regulation of ubiquitin-dependent endocytosis (GO:2000397)	2	1	1.35	-	.74	6.09E-01
regulation of ubiquitin-dependent endocytosis (GO:2000395)	2	1	1.35	-	.74	6.09E-01
protein maturation by [2Fe-2S] cluster transfer (GO:0106034)	4	2	2.70	-	.74	4.93E-01
ceramide catabolic process (GO:0046514)	2	1	1.35	-	.74	6.09E-01
strand invasion (GO:0042148)	4	2	2.70	-	.74	4.93E-01
negative regulation of lipid transport (GO:0032369)	2	1	1.35	-	.74	6.09E-01
ribophagy (GO:0034517)	8	4	5.40	-	.74	3.73E-01
nuclear polyadenylation-dependent antisense transcript catabolic process (GO:0071040)	2	1	1.35	-	.74	6.09E-01
regulation of ketone biosynthetic process (GO:0010566)	2	1	1.35	-	.74	6.09E-01
vesicle fusion with vacuole (GO:0051469)	2	1	1.35	-	.74	6.09E-01
ethanol catabolic process (GO:0006068)	2	1	1.35	-	.74	6.09E-01
negative regulation of cellular hyperosmotic salinity response (GO:1900070)	2	1	1.35	-	.74	6.09E-01
sorbitol catabolic process (GO:0006062)	2	1	1.35	-	.74	6.09E-01
maintenance of protein location in nucleus (GO:0051457)	4	2	2.70	-	.74	4.93E-01
sorbitol metabolic process (GO:0006060)	2	1	1.35	-	.74	6.09E-01
positive regulation of GTP binding (GO:1904426)	2	1	1.35	-	.74	6.09E-01
regulation of GTP binding (GO:1904424)	2	1	1.35	-	.74	6.09E-01
regulation of cellular hyperosmotic salinity response (GO:1900069)	2	1	1.35	-	.74	6.09E-01
negative regulation of ubiquitin-protein transferase activity (GO:0051444)	2	1	1.35	-	.74	6.09E-01
tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation (GO:0002926)	2	1	1.35	-	.74	6.09E-01
negative regulation of histone exchange (GO:1900050)	2	1	1.35	-	.74	6.09E-01
removal of nonhomologous ends (GO:0000735)	4	2	2.70	-	.74	4.93E-01
D-ribose metabolic process (GO:0006014)	2	1	1.35	-	.74	6.09E-01
meiotic DNA recombinase assembly (GO:0000707)	2	1	1.35	-	.74	6.09E-01
one-carbon compound transport (GO:0019755)	2	1	1.35	-	.74	6.09E-01
secondary metabolic process (GO:0019748)	4	2	2.70	-	.74	4.93E-01
regulation of isoprenoid metabolic process (GO:0019747)	2	1	1.35	-	.74	6.09E-01
negative regulation of proteasomal protein catabolic process (GO:1901799)	2	1	1.35	-	.74	6.09E-01
response to fatty acid (GO:0070542)	2	1	1.35	-	.74	6.09E-01
nicotinamide riboside metabolic process (GO:0046495)	2	1	1.35	-	.74	6.09E-01
positive regulation of heterochromatin organization (GO:0120263)	2	1	1.35	-	.74	6.09E-01
olefinic compound catabolic process (GO:0120256)	2	1	1.35	-	.74	6.09E-01
olefinic compound metabolic process (GO:0120254)	2	1	1.35	-	.74	6.09E-01
negative regulation of mating-type specific transcription from RNA polymerase II promoter (GO:0001198)	2	1	1.35	-	.74	6.09E-01
regulation of mating-type specific transcription from RNA polymerase II promoter (GO:0001196)	2	1	1.35	-	.74	6.09E-01
regulation of viral life cycle (GO:1903900)	2	1	1.35	-	.74	6.09E-01
FAD metabolic process (GO:0046443)	2	1	1.35	-	.74	6.09E-01
negative regulation of DNA-dependent DNA replication initiation (GO:0032297)	2	1	1.35	-	.74	6.09E-01
positive regulation of cellular amino acid biosynthetic process (GO:2000284)	2	1	1.35	-	.74	6.09E-01
XMP salvage (GO:0032265)	2	1	1.35	-	.74	6.09E-01
GMP salvage (GO:0032263)	2	1	1.35	-	.74	6.09E-01
CTP salvage (GO:0044211)	2	1	1.35	-	.74	6.09E-01
promoter clearance from RNA polymerase II promoter (GO:0001111)	4	2	2.70	-	.74	4.93E-01
