




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4652)	upload_1 (3741)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
ribophagy (GO:0034517)	8	5	6.43	-	.78	3.79E-01
positive regulation of phospholipid biosynthetic process (GO:0071073)	8	5	6.43	-	.78	3.79E-01
negative regulation of phospholipid biosynthetic process (GO:0071072)	8	5	6.43	-	.78	3.79E-01
acetate metabolic process (GO:0006083)	8	5	6.43	-	.78	3.79E-01
regulation of ubiquitin-protein transferase activity (GO:0051438)	8	5	6.43	-	.78	3.79E-01
neutral lipid catabolic process (GO:0046461)	8	5	6.43	-	.78	3.79E-01
kinetochore organization (GO:0051383)	8	5	6.43	-	.78	3.79E-01
negative regulation of carbohydrate metabolic process (GO:0045912)	16	10	12.87	-	.78	2.63E-01
glycosyl compound catabolic process (GO:1901658)	8	5	6.43	-	.78	3.79E-01
pre-mRNA cleavage required for polyadenylation (GO:0098789)	16	10	12.87	-	.78	2.63E-01
positive regulation of DNA-templated transcription, initiation (GO:2000144)	16	10	12.87	-	.78	2.63E-01
positive regulation of DNA-dependent DNA replication (GO:2000105)	8	5	6.43	-	.78	3.79E-01
negative regulation of proteolysis (GO:0045861)	8	5	6.43	-	.78	3.79E-01
protein localization to vacuolar membrane (GO:1903778)	8	5	6.43	-	.78	3.79E-01
hexose mediated signaling (GO:0009757)	8	5	6.43	-	.78	3.79E-01
carbohydrate mediated signaling (GO:0009756)	8	5	6.43	-	.78	3.79E-01
positive regulation of phospholipid metabolic process (GO:1903727)	8	5	6.43	-	.78	3.79E-01
negative regulation of phospholipid metabolic process (GO:1903726)	8	5	6.43	-	.78	3.79E-01
glucose mediated signaling pathway (GO:0010255)	8	5	6.43	-	.78	3.79E-01
sugar mediated signaling pathway (GO:0010182)	8	5	6.43	-	.78	3.79E-01
respiratory electron transport chain (GO:0022904)	40	25	32.17	-	.78	1.16E-01
regulation of cytokinesis (GO:0032465)	24	15	19.30	-	.78	1.95E-01
regulation of cell division (GO:0051302)	24	15	19.30	-	.78	1.95E-01
activation of protein kinase activity (GO:0032147)	24	15	19.30	-	.78	1.95E-01
macromolecule deacylation (GO:0098732)	24	15	19.30	-	.78	1.95E-01
regulation of MAPK cascade (GO:0043408)	24	15	19.30	-	.78	1.95E-01
positive regulation of hydrolase activity (GO:0051345)	53	33	42.62	-	.77	7.59E-02
positive regulation of supramolecular fiber organization (GO:1902905)	37	23	29.75	-	.77	1.22E-01
regulation of GTPase activity (GO:0043087)	37	23	29.75	-	.77	1.22E-01
positive regulation of mitotic cell cycle (GO:0045931)	37	23	29.75	-	.77	1.22E-01
organelle disassembly (GO:1903008)	58	36	46.64	-	.77	6.32E-02
regulation of nuclear division (GO:0051783)	58	36	46.64	-	.77	6.32E-02
mitochondrion inheritance (GO:0000001)	21	13	16.89	-	.77	2.08E-01
intermembrane lipid transfer (GO:0120009)	21	13	16.89	-	.77	2.08E-01
vacuolar transport (GO:0007034)	160	99	128.67	-	.77	3.39E-03
export from cell (GO:0140352)	81	50	65.14	-	.77	2.98E-02
regulation of cytoskeleton organization (GO:0051493)	81	50	65.14	-	.77	2.98E-02
proton transmembrane transport (GO:1902600)	86	53	69.16	-	.77	2.51E-02
regulation of transcription by glucose (GO:0046015)	13	8	10.45	-	.77	2.84E-01
negative regulation of protein-containing complex assembly (GO:0031333)	13	8	10.45	-	.77	2.84E-01
carbon catabolite repression (GO:0061985)	13	8	10.45	-	.77	2.84E-01
meiotic sister chromatid segregation (GO:0045144)	13	8	10.45	-	.77	2.84E-01
carbon catabolite repression of transcription (GO:0045013)	13	8	10.45	-	.77	2.84E-01
maintenance of cell polarity (GO:0030011)	13	8	10.45	-	.77	2.84E-01
protein localization to vacuole (GO:0072665)	109	67	87.65	-	.76	1.22E-02
establishment of protein localization to vacuole (GO:0072666)	101	62	81.22	-	.76	1.50E-02
regulation of organelle assembly (GO:1902115)	31	19	24.93	-	.76	1.36E-01
vesicle organization (GO:0016050)	85	52	68.35	-	.76	2.29E-02
mitotic spindle assembly checkpoint signaling (GO:0007094)	18	11	14.48	-	.76	2.22E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	18	11	14.48	-	.76	2.22E-01
negative regulation of chromosome segregation (GO:0051985)	18	11	14.48	-	.76	2.22E-01
negative regulation of mitotic sister chromatid segregation (GO:0033048)	18	11	14.48	-	.76	2.22E-01
negative regulation of sister chromatid segregation (GO:0033046)	18	11	14.48	-	.76	2.22E-01
spindle assembly checkpoint signaling (GO:0071173)	18	11	14.48	-	.76	2.22E-01
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	18	11	14.48	-	.76	2.22E-01
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	18	11	14.48	-	.76	2.22E-01
negative regulation of mitotic nuclear division (GO:0045839)	18	11	14.48	-	.76	2.22E-01
negative regulation of chromosome separation (GO:1905819)	18	11	14.48	-	.76	2.22E-01
vacuole organization (GO:0007033)	82	50	65.94	-	.76	2.39E-02
oxidative phosphorylation (GO:0006119)	41	25	32.97	-	.76	9.16E-02
establishment of vesicle localization (GO:0051650)	23	14	18.50	-	.76	1.77E-01
vesicle localization (GO:0051648)	23	14	18.50	-	.76	1.77E-01
protein deubiquitination (GO:0016579)	28	17	22.52	-	.75	1.43E-01
regulation of protein-containing complex disassembly (GO:0043244)	28	17	22.52	-	.75	1.43E-01
mitochondrion disassembly (GO:0061726)	33	20	26.54	-	.75	1.17E-01
autophagy of mitochondrion (GO:0000422)	33	20	26.54	-	.75	1.17E-01
regulation of macroautophagy (GO:0016241)	38	23	30.56	-	.75	9.59E-02
endosomal transport (GO:0016197)	101	61	81.22	-	.75	1.10E-02
positive regulation of organelle organization (GO:0010638)	101	61	81.22	-	.75	1.10E-02
sterol transport (GO:0015918)	25	15	20.10	-	.75	1.51E-01
stress granule assembly (GO:0034063)	10	6	8.04	-	.75	3.08E-01
receptor-mediated endocytosis (GO:0006898)	15	9	12.06	-	.75	2.37E-01
histone catabolic process (GO:0036205)	5	3	4.02	-	.75	4.29E-01
histone lysine demethylation (GO:0070076)	5	3	4.02	-	.75	4.29E-01
regulation of vesicle fusion (GO:0031338)	5	3	4.02	-	.75	4.29E-01
regulation of cell development (GO:0060284)	5	3	4.02	-	.75	4.29E-01
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	15	9	12.06	-	.75	2.37E-01
regulation of fatty acid metabolic process (GO:0019217)	5	3	4.02	-	.75	4.29E-01
antisense RNA metabolic process (GO:0042868)	5	3	4.02	-	.75	4.29E-01
termination of RNA polymerase II transcription, poly(A)-coupled (GO:0030846)	5	3	4.02	-	.75	4.29E-01
histone demethylation (GO:0016577)	5	3	4.02	-	.75	4.29E-01
activation of MAPK activity (GO:0000187)	5	3	4.02	-	.75	4.29E-01
regulation of actin filament-based process (GO:0032970)	60	36	48.25	-	.75	3.97E-02
inositol phosphate biosynthetic process (GO:0032958)	5	3	4.02	-	.75	4.29E-01
regulation of actin cytoskeleton organization (GO:0032956)	60	36	48.25	-	.75	3.97E-02
protein targeting to vacuole (GO:0006623)	90	54	72.38	-	.75	1.40E-02
DNA repair complex assembly (GO:0090735)	5	3	4.02	-	.75	4.29E-01
ribonucleotide catabolic process (GO:0009261)	5	3	4.02	-	.75	4.29E-01
regulation of vacuole fusion, non-autophagic (GO:0032889)	10	6	8.04	-	.75	3.08E-01
nucleolus organization (GO:0007000)	5	3	4.02	-	.75	4.29E-01
proline biosynthetic process (GO:0006561)	5	3	4.02	-	.75	4.29E-01
arginine biosynthetic process (GO:0006526)	10	6	8.04	-	.75	3.08E-01
C-terminal protein lipidation (GO:0006501)	5	3	4.02	-	.75	4.29E-01
aminophospholipid translocation (GO:0140331)	5	3	4.02	-	.75	4.29E-01
dolichol-linked oligosaccharide biosynthetic process (GO:0006488)	10	6	8.04	-	.75	3.08E-01
nuclear-transcribed mRNA catabolic process, no-go decay (GO:0070966)	5	3	4.02	-	.75	4.29E-01
glycerol transport (GO:0015793)	5	3	4.02	-	.75	4.29E-01
cellular response to metal ion (GO:0071248)	5	3	4.02	-	.75	4.29E-01
cellular response to arsenic-containing substance (GO:0071243)	5	3	4.02	-	.75	4.29E-01
base-excision repair, AP site formation (GO:0006285)	5	3	4.02	-	.75	4.29E-01
negative regulation of cell growth (GO:0030308)	5	3	4.02	-	.75	4.29E-01
DNA topological change (GO:0006265)	10	6	8.04	-	.75	3.08E-01
establishment of mitochondrion localization (GO:0051654)	5	3	4.02	-	.75	4.29E-01
response to amino acid starvation (GO:1990928)	10	6	8.04	-	.75	3.08E-01
response to arsenic-containing substance (GO:0046685)	10	6	8.04	-	.75	3.08E-01
purine nucleotide catabolic process (GO:0006195)	5	3	4.02	-	.75	4.29E-01
regulation of sporulation (GO:0043937)	10	6	8.04	-	.75	3.08E-01
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	15	9	12.06	-	.75	2.37E-01
negative regulation of Rho protein signal transduction (GO:0035024)	5	3	4.02	-	.75	4.29E-01
glycerolipid catabolic process (GO:0046503)	15	9	12.06	-	.75	2.37E-01
histone displacement (GO:0001207)	5	3	4.02	-	.75	4.29E-01
antisense RNA transcript catabolic process (GO:0071041)	5	3	4.02	-	.75	4.29E-01
DNA recombinase assembly (GO:0000730)	5	3	4.02	-	.75	4.29E-01
negative regulation of protein polymerization (GO:0032272)	10	6	8.04	-	.75	3.08E-01
negative regulation of pseudohyphal growth (GO:2000221)	5	3	4.02	-	.75	4.29E-01
regulation of invasive growth in response to glucose limitation (GO:2000217)	10	6	8.04	-	.75	3.08E-01
regulation of cell fate commitment (GO:0010453)	5	3	4.02	-	.75	4.29E-01
metaphase plate congression (GO:0051310)	10	6	8.04	-	.75	3.08E-01
regulation of ascospore formation (GO:0034307)	5	3	4.02	-	.75	4.29E-01
positive regulation of gene expression, epigenetic (GO:0045815)	20	12	16.08	-	.75	1.87E-01
regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619)	10	6	8.04	-	.75	3.08E-01
donor selection (GO:0007535)	5	3	4.02	-	.75	4.29E-01
regulation of ARF protein signal transduction (GO:0032012)	5	3	4.02	-	.75	4.29E-01
meiotic sister chromatid cohesion (GO:0051177)	5	3	4.02	-	.75	4.29E-01
positive regulation of transcription from RNA polymerase II promoter by galactose (GO:0000435)	5	3	4.02	-	.75	4.29E-01
regulation of transcription from RNA polymerase II promoter by galactose (GO:0000431)	5	3	4.02	-	.75	4.29E-01
regulation of actin nucleation (GO:0051125)	15	9	12.06	-	.75	2.37E-01
regulation of mRNA processing (GO:0050684)	10	6	8.04	-	.75	3.08E-01
cellular response to amino acid starvation (GO:0034198)	10	6	8.04	-	.75	3.08E-01
regulation of mating type switching (GO:0031494)	5	3	4.02	-	.75	4.29E-01
regulation of receptor-mediated endocytosis (GO:0048259)	10	6	8.04	-	.75	3.08E-01
protein ubiquitination (GO:0016567)	99	59	79.61	-	.74	9.02E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	37	22	29.75	-	.74	8.63E-02
ATP synthesis coupled electron transport (GO:0042773)	37	22	29.75	-	.74	8.63E-02
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	17	10	13.67	-	.73	1.98E-01
positive regulation of actin filament polymerization (GO:0030838)	17	10	13.67	-	.73	1.98E-01
actomyosin contractile ring organization (GO:0044837)	17	10	13.67	-	.73	1.98E-01
actomyosin structure organization (GO:0031032)	17	10	13.67	-	.73	1.98E-01
chromosome condensation (GO:0030261)	17	10	13.67	-	.73	1.98E-01
adaptation of signaling pathway (GO:0023058)	17	10	13.67	-	.73	1.98E-01
adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion (GO:0000754)	17	10	13.67	-	.73	1.98E-01
positive regulation of endocytosis (GO:0045807)	17	10	13.67	-	.73	1.98E-01
vesicle targeting (GO:0006903)	17	10	13.67	-	.73	1.98E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	46	27	36.99	-	.73	5.32E-02
multivesicular body sorting pathway (GO:0071985)	46	27	36.99	-	.73	5.32E-02
vesicle docking (GO:0048278)	29	17	23.32	-	.73	1.10E-01
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	41	24	32.97	-	.73	6.40E-02
organelle localization by membrane tethering (GO:0140056)	41	24	32.97	-	.73	6.40E-02
membrane docking (GO:0022406)	41	24	32.97	-	.73	6.40E-02
aerobic electron transport chain (GO:0019646)	36	21	28.95	-	.73	7.72E-02
Golgi to endosome transport (GO:0006895)	24	14	19.30	-	.73	1.34E-01
mitotic actomyosin contractile ring assembly (GO:1903475)	12	7	9.65	-	.73	2.53E-01
secretion by cell (GO:0032940)	60	35	48.25	-	.73	2.78E-02
secretion (GO:0046903)	60	35	48.25	-	.73	2.78E-02
assembly of actomyosin apparatus involved in mitotic cytokinesis (GO:1902407)	12	7	9.65	-	.73	2.53E-01
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899)	12	7	9.65	-	.73	2.53E-01
regulation of transcription from RNA polymerase II promoter by glucose (GO:0000430)	12	7	9.65	-	.73	2.53E-01
positive regulation of developmental process (GO:0051094)	12	7	9.65	-	.73	2.53E-01
retrograde transport, endosome to Golgi (GO:0042147)	43	25	34.58	-	.72	5.51E-02
carbon catabolite regulation of transcription from RNA polymerase II promoter (GO:0000429)	33	19	26.54	-	.72	8.00E-02
regulation of chromosome segregation (GO:0051983)	47	27	37.80	-	.71	4.09E-02
mitochondrial outer membrane translocase complex assembly (GO:0070096)	7	4	5.63	-	.71	3.38E-01
tRNA gene clustering (GO:0070058)	7	4	5.63	-	.71	3.38E-01
response to ethanol (GO:0045471)	7	4	5.63	-	.71	3.38E-01
ribosome-associated ubiquitin-dependent protein catabolic process (GO:1990116)	7	4	5.63	-	.71	3.38E-01
regulation of endopeptidase activity (GO:0052548)	7	4	5.63	-	.71	3.38E-01
bipolar cellular bud site selection (GO:0007121)	14	8	11.26	-	.71	2.09E-01
inositol phosphoceramide metabolic process (GO:0006673)	7	4	5.63	-	.71	3.38E-01
negative regulation of telomerase activity (GO:0051974)	7	4	5.63	-	.71	3.38E-01
deadenylation-independent decapping of nuclear-transcribed mRNA (GO:0031087)	7	4	5.63	-	.71	3.38E-01
purine nucleotide transport (GO:0015865)	28	16	22.52	-	.71	9.70E-02
telomere capping (GO:0016233)	7	4	5.63	-	.71	3.38E-01
positive regulation of phosphatase activity (GO:0010922)	7	4	5.63	-	.71	3.38E-01
phosphatidylinositol dephosphorylation (GO:0046856)	7	4	5.63	-	.71	3.38E-01
regulation of sporulation resulting in formation of a cellular spore (GO:0042173)	7	4	5.63	-	.71	3.38E-01
cell morphogenesis involved in conjugation (GO:0000767)	7	4	5.63	-	.71	3.38E-01
positive regulation of invasive growth in response to glucose limitation (GO:2000219)	7	4	5.63	-	.71	3.38E-01
spindle disassembly (GO:0051230)	7	4	5.63	-	.71	3.38E-01
mitochondrial DNA metabolic process (GO:0032042)	7	4	5.63	-	.71	3.38E-01
positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737)	7	4	5.63	-	.71	3.38E-01
vesicle tethering (GO:0099022)	14	8	11.26	-	.71	2.09E-01
negative regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0071930)	7	4	5.63	-	.71	3.38E-01
positive regulation of MAP kinase activity (GO:0043406)	7	4	5.63	-	.71	3.38E-01
positive regulation of receptor-mediated endocytosis (GO:0048260)	7	4	5.63	-	.71	3.38E-01
carbon catabolite regulation of transcription (GO:0045990)	37	21	29.75	-	.71	5.86E-02
autophagosome assembly (GO:0000045)	30	17	24.13	-	.70	8.27E-02
autophagosome organization (GO:1905037)	30	17	24.13	-	.70	8.27E-02
positive regulation of GTPase activity (GO:0043547)	30	17	24.13	-	.70	8.27E-02
regulation of mitotic sister chromatid segregation (GO:0033047)	23	13	18.50	-	.70	1.18E-01
mitotic cytokinetic process (GO:1902410)	16	9	12.87	-	.70	1.74E-01
protein modification by small protein removal (GO:0070646)	32	18	25.73	-	.70	7.05E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	32	18	25.73	-	.70	7.05E-02
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	32	18	25.73	-	.70	7.05E-02
positive regulation of lipid metabolic process (GO:0045834)	16	9	12.87	-	.70	1.74E-01
regulation of protein ubiquitination (GO:0031396)	25	14	20.10	-	.70	1.00E-01
double-strand break repair via nonhomologous end joining (GO:0006303)	25	14	20.10	-	.70	1.00E-01
negative regulation of actin filament polymerization (GO:0030837)	9	5	7.24	-	.69	2.71E-01
mitotic metaphase plate congression (GO:0007080)	9	5	7.24	-	.69	2.71E-01
plasma membrane organization (GO:0007009)	9	5	7.24	-	.69	2.71E-01
protein localization to condensed chromosome (GO:1903083)	9	5	7.24	-	.69	2.71E-01
positive regulation of protein localization to nucleus (GO:1900182)	9	5	7.24	-	.69	2.71E-01
intracellular sterol transport (GO:0032366)	9	5	7.24	-	.69	2.71E-01
regulation of proteolysis (GO:0030162)	36	20	28.95	-	.69	5.14E-02
protein localization to kinetochore (GO:0034501)	9	5	7.24	-	.69	2.71E-01
protein localization to phagophore assembly site (GO:0034497)	18	10	14.48	-	.69	1.46E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	9	5	7.24	-	.69	2.71E-01
positive regulation of transcription by galactose (GO:0000411)	9	5	7.24	-	.69	2.71E-01
regulation of transcription by galactose (GO:0000409)	9	5	7.24	-	.69	2.71E-01
purine ribonucleotide transport (GO:0015868)	27	15	21.71	-	.69	8.51E-02
adenine nucleotide transport (GO:0051503)	27	15	21.71	-	.69	8.51E-02
positive regulation of cytoskeleton organization (GO:0051495)	47	26	37.80	-	.69	2.72E-02
organelle inheritance (GO:0048308)	47	26	37.80	-	.69	2.72E-02
protein localization to Golgi apparatus (GO:0034067)	20	11	16.08	-	.68	1.22E-01
late endosome to vacuole transport (GO:0045324)	53	29	42.62	-	.68	1.73E-02
regulation of cell differentiation (GO:0045595)	11	6	8.85	-	.68	2.21E-01
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	11	6	8.85	-	.68	2.21E-01
replication fork processing (GO:0031297)	11	6	8.85	-	.68	2.21E-01
phospholipid catabolic process (GO:0009395)	11	6	8.85	-	.68	2.21E-01
cytosolic transport (GO:0016482)	66	36	53.08	-	.68	8.11E-03
regulation of mitotic nuclear division (GO:0007088)	33	18	26.54	-	.68	5.24E-02
protein localization to chromosome, centromeric region (GO:0071459)	11	6	8.85	-	.68	2.21E-01
positive regulation of macroautophagy (GO:0016239)	22	12	17.69	-	.68	1.03E-01
positive regulation of lipid biosynthetic process (GO:0046889)	11	6	8.85	-	.68	2.21E-01
regulation of mitotic cytokinesis (GO:1902412)	11	6	8.85	-	.68	2.21E-01
negative regulation of TORC1 signaling (GO:1904262)	11	6	8.85	-	.68	2.21E-01
negative regulation of TOR signaling (GO:0032007)	11	6	8.85	-	.68	2.21E-01
negative regulation of gluconeogenesis (GO:0045721)	11	6	8.85	-	.68	2.21E-01
carbon catabolite activation of transcription from RNA polymerase II promoter (GO:0000436)	22	12	17.69	-	.68	1.03E-01
regulation of sister chromatid segregation (GO:0033045)	35	19	28.15	-	.68	4.47E-02
late nucleophagy (GO:0044805)	13	7	10.45	-	.67	1.82E-01
positive regulation of nuclear division (GO:0051785)	13	7	10.45	-	.67	1.82E-01
autophagy of peroxisome (GO:0030242)	26	14	20.91	-	.67	7.36E-02
carbon catabolite activation of transcription (GO:0045991)	26	14	20.91	-	.67	7.36E-02
regulation of Arp2/3 complex-mediated actin nucleation (GO:0034315)	13	7	10.45	-	.67	1.82E-01
positive regulation of MAPK cascade (GO:0043410)	13	7	10.45	-	.67	1.82E-01
Golgi to vacuole transport (GO:0006896)	30	16	24.13	-	.66	5.30E-02
protein monoubiquitination (GO:0006513)	15	8	12.06	-	.66	1.51E-01
lysosomal microautophagy (GO:0016237)	49	26	39.40	-	.66	1.50E-02
endosome organization (GO:0007032)	17	9	13.67	-	.66	1.25E-01
regulation of mitotic sister chromatid separation (GO:0010965)	34	18	27.34	-	.66	3.84E-02
regulation of chromosome separation (GO:1905818)	34	18	27.34	-	.66	3.84E-02
exocytosis (GO:0006887)	46	24	36.99	-	.65	1.50E-02
ATP transport (GO:0015867)	23	12	18.50	-	.65	7.44E-02
vesicle budding from membrane (GO:0006900)	25	13	20.10	-	.65	6.29E-02
regulation of vacuole organization (GO:0044088)	27	14	21.71	-	.64	5.32E-02
lipid homeostasis (GO:0055088)	29	15	23.32	-	.64	4.52E-02
multivesicular body assembly (GO:0036258)	2	1	1.61	-	.62	5.22E-01
contractile ring contraction (GO:0036213)	2	1	1.61	-	.62	5.22E-01
protein-lipid complex subunit organization (GO:0071825)	4	2	3.22	-	.62	3.76E-01
water transport (GO:0006833)	2	1	1.61	-	.62	5.22E-01
meiotic chromosome condensation (GO:0010032)	4	2	3.22	-	.62	3.76E-01
methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione (GO:0019243)	4	2	3.22	-	.62	3.76E-01
protein localization to cell division site involved in mitotic actomyosin contractile ring assembly (GO:1903476)	2	1	1.61	-	.62	5.22E-01
regulation of mitotic DNA replication initiation (GO:1903466)	4	2	3.22	-	.62	3.76E-01
regulation of mitotic cell cycle DNA replication (GO:1903463)	4	2	3.22	-	.62	3.76E-01
positive regulation of G1 to G0 transition (GO:1903452)	4	2	3.22	-	.62	3.76E-01
carnitine metabolic process (GO:0009437)	4	2	3.22	-	.62	3.76E-01
negative regulation of signal transduction involved in conjugation with cellular fusion (GO:0060240)	2	1	1.61	-	.62	5.22E-01
nucleotide-excision repair involved in interstrand cross-link repair (GO:1901255)	2	1	1.61	-	.62	5.22E-01
regulation of signal transduction involved in conjugation with cellular fusion (GO:0060238)	2	1	1.61	-	.62	5.22E-01
response to UV (GO:0009411)	8	4	6.43	-	.62	2.31E-01
osmosensory signaling via phosphorelay pathway (GO:0007234)	4	2	3.22	-	.62	3.76E-01
exocyst assembly (GO:0001927)	4	2	3.22	-	.62	3.76E-01
positive regulation of cytosolic calcium ion concentration (GO:0007204)	2	1	1.61	-	.62	5.22E-01
regulation of actin filament depolymerization (GO:0030834)	8	4	6.43	-	.62	2.31E-01
histone phosphorylation (GO:0016572)	8	4	6.43	-	.62	2.31E-01
polyphosphate catabolic process (GO:0006798)	4	2	3.22	-	.62	3.76E-01
protein autoprocessing (GO:0016540)	2	1	1.61	-	.62	5.22E-01
dihydrofolate biosynthetic process (GO:0006761)	2	1	1.61	-	.62	5.22E-01
tetrahydrobiopterin biosynthetic process (GO:0006729)	2	1	1.61	-	.62	5.22E-01
activation of MAPKK activity (GO:0000186)	4	2	3.22	-	.62	3.76E-01
activation of MAPKKK activity (GO:0000185)	2	1	1.61	-	.62	5.22E-01
clathrin-coated vesicle cargo loading (GO:0035652)	2	1	1.61	-	.62	5.22E-01
regulation of transcription involved in G2/M transition of mitotic cell cycle (GO:0000117)	4	2	3.22	-	.62	3.76E-01
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	2	1	1.61	-	.62	5.22E-01
negative regulation of protein autoubiquitination (GO:1905524)	2	1	1.61	-	.62	5.22E-01
DNA damage response, detection of DNA damage (GO:0042769)	2	1	1.61	-	.62	5.22E-01
positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0036091)	2	1	1.61	-	.62	5.22E-01
regulation of protein maturation (GO:1903317)	2	1	1.61	-	.62	5.22E-01
budding cell isotropic bud growth (GO:0007119)	4	2	3.22	-	.62	3.76E-01
regulation of (1->3)-beta-D-glucan biosynthetic process (GO:0032953)	2	1	1.61	-	.62	5.22E-01
regulation of (1->3)-beta-D-glucan metabolic process (GO:0032952)	2	1	1.61	-	.62	5.22E-01
membrane addition at site of cytokinesis (GO:0007107)	2	1	1.61	-	.62	5.22E-01
glycosphingolipid biosynthetic process (GO:0006688)	2	1	1.61	-	.62	5.22E-01
phosphatidylglycerol biosynthetic process (GO:0006655)	4	2	3.22	-	.62	3.76E-01
triglyceride mobilization (GO:0006642)	2	1	1.61	-	.62	5.22E-01
vacuolar protein processing (GO:0006624)	8	4	6.43	-	.62	2.31E-01
positive regulation of SNARE complex assembly (GO:0035543)	2	1	1.61	-	.62	5.22E-01
DNA dealkylation (GO:0035510)	2	1	1.61	-	.62	5.22E-01
single strand break repair (GO:0000012)	2	1	1.61	-	.62	5.22E-01
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	4	2	3.22	-	.62	3.76E-01
septin ring disassembly (GO:0031107)	2	1	1.61	-	.62	5.22E-01
calcineurin-mediated signaling (GO:0097720)	2	1	1.61	-	.62	5.22E-01
copper ion export (GO:0060003)	2	1	1.61	-	.62	5.22E-01
mannosyl-inositol phosphorylceramide biosynthetic process (GO:0051999)	2	1	1.61	-	.62	5.22E-01
diphosphoinositol polyphosphate metabolic process (GO:0071543)	2	1	1.61	-	.62	5.22E-01
tRNA re-export from nucleus (GO:0071528)	2	1	1.61	-	.62	5.22E-01
sterol homeostasis (GO:0055092)	2	1	1.61	-	.62	5.22E-01
amino-acid betaine metabolic process (GO:0006577)	4	2	3.22	-	.62	3.76E-01
ESCRT III complex assembly (GO:1904902)	2	1	1.61	-	.62	5.22E-01
arginine catabolic process (GO:0006527)	2	1	1.61	-	.62	5.22E-01
phosphatidylcholine biosynthesis from sn-glycero-3-phosphocholine (GO:0090640)	2	1	1.61	-	.62	5.22E-01
carnitine transport (GO:0015879)	2	1	1.61	-	.62	5.22E-01
amino-acid betaine transport (GO:0015838)	2	1	1.61	-	.62	5.22E-01
tryptophan transport (GO:0015827)	2	1	1.61	-	.62	5.22E-01
regulation of snRNA pseudouridine synthesis (GO:1905356)	2	1	1.61	-	.62	5.22E-01
meiotic DNA integrity checkpoint signaling (GO:0044778)	2	1	1.61	-	.62	5.22E-01
purine ribonucleotide catabolic process (GO:0009154)	4	2	3.22	-	.62	3.76E-01
siderophore transmembrane transport (GO:0044718)	4	2	3.22	-	.62	3.76E-01
cellular response to blue light (GO:0071483)	2	1	1.61	-	.62	5.22E-01
ESCRT complex assembly (GO:1904895)	2	1	1.61	-	.62	5.22E-01
regulation of translational initiation by eIF2 alpha phosphorylation (GO:0010998)	2	1	1.61	-	.62	5.22E-01
regulation of cell wall macromolecule metabolic process (GO:0010981)	2	1	1.61	-	.62	5.22E-01
regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion (GO:0010969)	2	1	1.61	-	.62	5.22E-01
histone H3-K9 modification (GO:0061647)	2	1	1.61	-	.62	5.22E-01
positive regulation of endopeptidase activity (GO:0010950)	4	2	3.22	-	.62	3.76E-01
calcium ion import into cytosol (GO:1902656)	2	1	1.61	-	.62	5.22E-01
glycyl-tRNA aminoacylation (GO:0006426)	2	1	1.61	-	.62	5.22E-01
carnitine transmembrane transport (GO:1902603)	2	1	1.61	-	.62	5.22E-01
protein K11-linked ubiquitination (GO:0070979)	4	2	3.22	-	.62	3.76E-01
actin filament reorganization (GO:0090527)	2	1	1.61	-	.62	5.22E-01
cellular triglyceride homeostasis (GO:0035356)	2	1	1.61	-	.62	5.22E-01
oligosaccharide transport (GO:0015772)	4	2	3.22	-	.62	3.76E-01
disaccharide transport (GO:0015766)	4	2	3.22	-	.62	3.76E-01
positive regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001108)	2	1	1.61	-	.62	5.22E-01
