




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9012)	upload_1 (2982)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) (GO:0000388)	1	0	.33	-	 < 0.01	7.18E-01
phagocytosis, engulfment (GO:0006911)	1	0	.33	-	 < 0.01	7.18E-01
sulfate assimilation via adenylyl sulfate reduction (GO:0010134)	1	0	.33	-	 < 0.01	7.18E-01
proline catabolic process to glutamate (GO:0010133)	2	0	.66	-	 < 0.01	5.16E-01
regulation of heterochromatin assembly (GO:0031445)	2	0	.66	-	 < 0.01	5.16E-01
negative regulation of mRNA 3'-end processing (GO:0031441)	1	0	.33	-	 < 0.01	7.18E-01
phagocytosis (GO:0006909)	1	0	.33	-	 < 0.01	7.18E-01
regulation of mRNA 3'-end processing (GO:0031440)	3	0	.99	-	 < 0.01	3.71E-01
vesicle targeting (GO:0006903)	3	0	.99	-	 < 0.01	3.71E-01
RNA splicing, via transesterification reactions with guanosine as nucleophile (GO:0000376)	1	0	.33	-	 < 0.01	7.18E-01
vesicle coating (GO:0006901)	2	0	.66	-	 < 0.01	5.16E-01
membrane protein proteolysis (GO:0033619)	1	0	.33	-	 < 0.01	7.18E-01
Group I intron splicing (GO:0000372)	1	0	.33	-	 < 0.01	7.18E-01
phenylacetate catabolic process (GO:0010124)	3	0	.99	-	 < 0.01	3.71E-01
positive regulation of Golgi to plasma membrane protein transport (GO:0042998)	1	0	.33	-	 < 0.01	7.18E-01
regulation of Golgi to plasma membrane protein transport (GO:0042996)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of anion transport (GO:1903793)	1	0	.33	-	 < 0.01	7.18E-01
inositol phosphorylation (GO:0052746)	1	0	.33	-	 < 0.01	7.18E-01
oxalate metabolic process (GO:0033609)	1	0	.33	-	 < 0.01	7.18E-01
nuclear membrane fusion involved in karyogamy (GO:0048288)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of transcription from RNA polymerase II promoter in response to heat stress (GO:0061408)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of phosphoprotein phosphatase activity (GO:0032515)	5	0	1.65	-	 < 0.01	1.91E-01
regulation of amino acid transmembrane transport (GO:1903789)	1	0	.33	-	 < 0.01	7.18E-01
sequestering of actin monomers (GO:0042989)	2	0	.66	-	 < 0.01	5.16E-01
positive regulation of growth of unicellular organism as a thread of attached cells (GO:0070786)	1	0	.33	-	 < 0.01	7.18E-01
regulation of apoptotic process (GO:0042981)	2	0	.66	-	 < 0.01	5.16E-01
regulation of growth of unicellular organism as a thread of attached cells (GO:0070784)	1	0	.33	-	 < 0.01	7.18E-01
growth of unicellular organism as a thread of attached cells (GO:0070783)	1	0	.33	-	 < 0.01	7.18E-01
cis assembly of pre-catalytic spliceosome (GO:0000354)	1	0	.33	-	 < 0.01	7.18E-01
Golgi localization (GO:0051645)	1	0	.33	-	 < 0.01	7.18E-01
generation of catalytic spliceosome for second transesterification step (GO:0000350)	2	0	.66	-	 < 0.01	5.16E-01
centrosome localization (GO:0051642)	1	0	.33	-	 < 0.01	7.18E-01
guanine metabolic process (GO:0046098)	2	0	.66	-	 < 0.01	5.16E-01
protein localization to vacuolar membrane (GO:1903778)	1	0	.33	-	 < 0.01	7.18E-01
regulation of DNA double-strand break processing (GO:1903775)	1	0	.33	-	 < 0.01	7.18E-01
L-aspartate transmembrane transport (GO:0070778)	1	0	.33	-	 < 0.01	7.18E-01
stabilization of membrane potential (GO:0030322)	2	0	.66	-	 < 0.01	5.16E-01
actin filament network formation (GO:0051639)	1	0	.33	-	 < 0.01	7.18E-01
clathrin coat assembly (GO:0048268)	3	0	.99	-	 < 0.01	3.71E-01
sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) (GO:0019379)	3	0	.99	-	 < 0.01	3.71E-01
positive regulation of receptor-mediated endocytosis (GO:0048260)	1	0	.33	-	 < 0.01	7.18E-01
N-terminal peptidyl-serine acetylation (GO:0017198)	1	0	.33	-	 < 0.01	7.18E-01
adenosine metabolic process (GO:0046085)	2	0	.66	-	 < 0.01	5.16E-01
dUTP catabolic process (GO:0046081)	1	0	.33	-	 < 0.01	7.18E-01
dUTP metabolic process (GO:0046080)	1	0	.33	-	 < 0.01	7.18E-01
protein deneddylation (GO:0000338)	5	0	1.65	-	 < 0.01	1.91E-01
regulation of receptor-mediated endocytosis (GO:0048259)	1	0	.33	-	 < 0.01	7.18E-01
fatty acid elongation, unsaturated fatty acid (GO:0019368)	2	0	.66	-	 < 0.01	5.16E-01
fatty acid elongation, saturated fatty acid (GO:0019367)	2	0	.66	-	 < 0.01	5.16E-01
snoRNA localization (GO:0048254)	2	0	.66	-	 < 0.01	5.16E-01
positive regulation of mitotic recombination-dependent replication fork processing (GO:0120292)	1	0	.33	-	 < 0.01	7.18E-01
pyridine nucleotide catabolic process (GO:0019364)	2	0	.66	-	 < 0.01	5.16E-01
positive regulation of hydroxymethylglutaryl-CoA reductase (NADPH) activity (GO:1900490)	1	0	.33	-	 < 0.01	7.18E-01
dUMP metabolic process (GO:0046078)	2	0	.66	-	 < 0.01	5.16E-01
actin filament debranching (GO:0071846)	1	0	.33	-	 < 0.01	7.18E-01
peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase (GO:0017186)	2	0	.66	-	 < 0.01	5.16E-01
dTMP metabolic process (GO:0046073)	2	0	.66	-	 < 0.01	5.16E-01
dGTP metabolic process (GO:0046070)	1	0	.33	-	 < 0.01	7.18E-01
beta-ketoadipate pathway (GO:0042952)	1	0	.33	-	 < 0.01	7.18E-01
polyprenol catabolic process (GO:0016095)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of glucose mediated signaling pathway (GO:1902660)	3	0	.99	-	 < 0.01	3.71E-01
positive regulation of isopentenyl diphosphate biosynthetic process, mevalonate pathway (GO:1900486)	1	0	.33	-	 < 0.01	7.18E-01
regulation of multivesicular body size (GO:0010796)	1	0	.33	-	 < 0.01	7.18E-01
siroheme biosynthetic process (GO:0019354)	2	0	.66	-	 < 0.01	5.16E-01
regulation of ubiquinone biosynthetic process (GO:0010795)	1	0	.33	-	 < 0.01	7.18E-01
regulation of dolichol biosynthetic process (GO:0010794)	1	0	.33	-	 < 0.01	7.18E-01
regulation of mRNA export from nucleus (GO:0010793)	1	0	.33	-	 < 0.01	7.18E-01
DNA double-strand break processing involved in repair via single-strand annealing (GO:0010792)	1	0	.33	-	 < 0.01	7.18E-01
cGMP catabolic process (GO:0046069)	1	0	.33	-	 < 0.01	7.18E-01
cGMP metabolic process (GO:0046068)	1	0	.33	-	 < 0.01	7.18E-01
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	6	0	1.99	-	 < 0.01	1.37E-01
UDP-glucosylation (GO:0097359)	1	0	.33	-	 < 0.01	7.18E-01
glycerophosphodiester transmembrane transport (GO:0001407)	1	0	.33	-	 < 0.01	7.18E-01
regulation of glucose mediated signaling pathway (GO:1902659)	3	0	.99	-	 < 0.01	3.71E-01
autophagosome maturation (GO:0097352)	1	0	.33	-	 < 0.01	7.18E-01
calcium ion import into cytosol (GO:1902656)	2	0	.66	-	 < 0.01	5.16E-01
invasive growth in response to glucose limitation (GO:0001403)	1	0	.33	-	 < 0.01	7.18E-01
signal transduction involved in filamentous growth (GO:0001402)	1	0	.33	-	 < 0.01	7.18E-01
exocyst localization (GO:0051601)	1	0	.33	-	 < 0.01	7.18E-01
cysteine biosynthetic process (GO:0019344)	8	0	2.65	-	 < 0.01	7.08E-02
cysteine biosynthetic process via cystathionine (GO:0019343)	3	0	.99	-	 < 0.01	3.71E-01
positive regulation of hydrogen sulfide biosynthetic process (GO:1904828)	2	0	.66	-	 < 0.01	5.16E-01
regulation of hydrogen sulfide biosynthetic process (GO:1904826)	2	0	.66	-	 < 0.01	5.16E-01
protein localization to microtubule plus-end (GO:1904825)	1	0	.33	-	 < 0.01	7.18E-01
cAMP metabolic process (GO:0046058)	2	0	.66	-	 < 0.01	5.16E-01
sno(s)RNA catabolic process (GO:0016077)	1	0	.33	-	 < 0.01	7.18E-01
snRNA catabolic process (GO:0016076)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of heterochromatin organization (GO:0120262)	2	0	.66	-	 < 0.01	5.16E-01
regulation of heterochromatin organization (GO:0120261)	2	0	.66	-	 < 0.01	5.16E-01
actin filament-based transport (GO:0099515)	2	0	.66	-	 < 0.01	5.16E-01
meiotic DNA recombinase assembly involved in reciprocal meiotic recombination (GO:0010772)	1	0	.33	-	 < 0.01	7.18E-01
cellular response to decreased oxygen levels (GO:0036294)	1	0	.33	-	 < 0.01	7.18E-01
UDP metabolic process (GO:0046048)	2	0	.66	-	 < 0.01	5.16E-01
positive regulation of phospholipid metabolic process (GO:1903727)	2	0	.66	-	 < 0.01	5.16E-01
negative regulation of phospholipid metabolic process (GO:1903726)	1	0	.33	-	 < 0.01	7.18E-01
regulation of phospholipid metabolic process (GO:1903725)	3	0	.99	-	 < 0.01	3.71E-01
ITP metabolic process (GO:0046041)	1	0	.33	-	 < 0.01	7.18E-01
cell wall assembly (GO:0070726)	3	0	.99	-	 < 0.01	3.71E-01
hydrocarbon catabolic process (GO:0120253)	2	0	.66	-	 < 0.01	5.16E-01
Golgi vesicle docking (GO:0048211)	3	0	.99	-	 < 0.01	3.71E-01
RITS complex assembly (GO:1904802)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of ribosomal protein gene transcription by RNA polymerase II (GO:0060963)	1	0	.33	-	 < 0.01	7.18E-01
regulation of ribosomal protein gene transcription by RNA polymerase II (GO:0060962)	1	0	.33	-	 < 0.01	7.18E-01
dynein-driven meiotic oscillatory nuclear movement (GO:0030989)	2	0	.66	-	 < 0.01	5.16E-01
cysteine transmembrane transport (GO:1903712)	1	0	.33	-	 < 0.01	7.18E-01
spermidine transmembrane transport (GO:1903711)	1	0	.33	-	 < 0.01	7.18E-01
regulation of vesicle targeting, to, from or within Golgi (GO:0048209)	1	0	.33	-	 < 0.01	7.18E-01
COPII vesicle coating (GO:0048208)	1	0	.33	-	 < 0.01	7.18E-01
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	1	0	.33	-	 < 0.01	7.18E-01
COPI coating of Golgi vesicle (GO:0048205)	1	0	.33	-	 < 0.01	7.18E-01
Golgi transport vesicle coating (GO:0048200)	1	0	.33	-	 < 0.01	7.18E-01
nucleotide-excision repair, DNA gap filling (GO:0006297)	4	0	1.32	-	 < 0.01	2.66E-01
nucleotide-excision repair, DNA incision, 5'-to lesion (GO:0006296)	3	0	.99	-	 < 0.01	3.71E-01
xanthine transport (GO:0042906)	1	0	.33	-	 < 0.01	7.18E-01
iron-sulfur cluster export from the mitochondrion (GO:0140466)	1	0	.33	-	 < 0.01	7.18E-01
cell growth (GO:0016049)	1	0	.33	-	 < 0.01	7.18E-01
alpha-glucan biosynthetic process (GO:0030979)	2	0	.66	-	 < 0.01	5.16E-01
alpha-glucan metabolic process (GO:0030978)	2	0	.66	-	 < 0.01	5.16E-01
pericentric heterochromatin organization (GO:0140462)	2	0	.66	-	 < 0.01	5.16E-01
pyrimidine dimer repair (GO:0006290)	2	0	.66	-	 < 0.01	5.16E-01
acyl carnitine transmembrane transport (GO:1902616)	3	0	.99	-	 < 0.01	3.71E-01
positive regulation of filamentous growth of a population of unicellular organisms in response to starvation (GO:1900436)	1	0	.33	-	 < 0.01	7.18E-01
regulation of filamentous growth of a population of unicellular organisms in response to starvation (GO:1900434)	1	0	.33	-	 < 0.01	7.18E-01
invasive filamentous growth (GO:0036267)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of filamentous growth of a population of unicellular organisms (GO:1900430)	1	0	.33	-	 < 0.01	7.18E-01
base-excision repair, DNA ligation (GO:0006288)	1	0	.33	-	 < 0.01	7.18E-01
peptidyl-tyrosine modification (GO:0018212)	2	0	.66	-	 < 0.01	5.16E-01
positive regulation of transcription by glucose (GO:0046016)	1	0	.33	-	 < 0.01	7.18E-01
base-excision repair, gap-filling (GO:0006287)	2	0	.66	-	 < 0.01	5.16E-01
base-excision repair, base-free sugar-phosphate removal (GO:0006286)	1	0	.33	-	 < 0.01	7.18E-01
peptidyl-threonine modification (GO:0018210)	8	0	2.65	-	 < 0.01	7.08E-02
maintenance of mitotic sister chromatid cohesion (GO:0034088)	1	0	.33	-	 < 0.01	7.18E-01
cytoplasm protein quality control (GO:0140455)	1	0	.33	-	 < 0.01	7.18E-01
transcription-coupled nucleotide-excision repair (GO:0006283)	2	0	.66	-	 < 0.01	5.16E-01
establishment of mitotic sister chromatid cohesion (GO:0034087)	2	0	.66	-	 < 0.01	5.16E-01
regulation of DNA repair (GO:0006282)	4	0	1.32	-	 < 0.01	2.66E-01
maintenance of sister chromatid cohesion (GO:0034086)	1	0	.33	-	 < 0.01	7.18E-01
establishment of sister chromatid cohesion (GO:0034085)	3	0	.99	-	 < 0.01	3.71E-01
cellular response to phosphate starvation (GO:0016036)	1	0	.33	-	 < 0.01	7.18E-01
carnitine transmembrane transport (GO:1902603)	1	0	.33	-	 < 0.01	7.18E-01
regulation of filamentous growth of a population of unicellular organisms (GO:1900428)	1	0	.33	-	 < 0.01	7.18E-01
phosphoenolpyruvate transmembrane transport (GO:0089722)	1	0	.33	-	 < 0.01	7.18E-01
protein kinase A signaling (GO:0010737)	3	0	.99	-	 < 0.01	3.71E-01
multivesicular body organization (GO:0036257)	1	0	.33	-	 < 0.01	7.18E-01
protein glutathionylation (GO:0010731)	1	0	.33	-	 < 0.01	7.18E-01
premeiotic DNA replication (GO:0006279)	2	0	.66	-	 < 0.01	5.16E-01
RNA-dependent DNA biosynthetic process (GO:0006278)	4	0	1.32	-	 < 0.01	2.66E-01
peptidyl-glutamic acid modification (GO:0018200)	1	0	.33	-	 < 0.01	7.18E-01
lagging strand elongation (GO:0006273)	7	0	2.32	-	 < 0.01	9.86E-02
leading strand elongation (GO:0006272)	6	0	1.99	-	 < 0.01	1.37E-01
astral microtubule organization (GO:0030953)	1	0	.33	-	 < 0.01	7.18E-01
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951)	1	0	.33	-	 < 0.01	7.18E-01
posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	3	0	.99	-	 < 0.01	3.71E-01
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	6	0	1.99	-	 < 0.01	1.37E-01
cellular response to menadione (GO:0036245)	1	0	.33	-	 < 0.01	7.18E-01
DNA replication, synthesis of RNA primer (GO:0006269)	2	0	.66	-	 < 0.01	5.16E-01
DNA ligation (GO:0006266)	4	0	1.32	-	 < 0.01	2.66E-01
DNA topological change (GO:0006265)	3	0	.99	-	 < 0.01	3.71E-01
L-histidine transmembrane export from vacuole (GO:0089708)	1	0	.33	-	 < 0.01	7.18E-01
L-lysine transmembrane export from vacuole (GO:0089707)	1	0	.33	-	 < 0.01	7.18E-01
mitochondrial RNA 5'-end processing (GO:0000964)	1	0	.33	-	 < 0.01	7.18E-01
UDP catabolic process (GO:0006256)	1	0	.33	-	 < 0.01	7.18E-01
endosomal vesicle fusion (GO:0034058)	5	0	1.65	-	 < 0.01	1.91E-01
protein localization to nuclear inner membrane (GO:0036228)	2	0	.66	-	 < 0.01	5.16E-01
meiotic DNA double-strand break processing involved in reciprocal meiotic recombination (GO:0010705)	1	0	.33	-	 < 0.01	7.18E-01
charged-tRNA amino acid modification (GO:0019988)	2	0	.66	-	 < 0.01	5.16E-01
pyrimidine nucleotide catabolic process (GO:0006244)	2	0	.66	-	 < 0.01	5.16E-01
peptidyl-serine acetylation (GO:0030920)	1	0	.33	-	 < 0.01	7.18E-01
contractile ring contraction (GO:0036213)	1	0	.33	-	 < 0.01	7.18E-01
dTMP biosynthetic process (GO:0006231)	2	0	.66	-	 < 0.01	5.16E-01
purine nucleoside bisphosphate catabolic process (GO:0034034)	2	0	.66	-	 < 0.01	5.16E-01
ribonucleoside bisphosphate catabolic process (GO:0034031)	2	0	.66	-	 < 0.01	5.16E-01
dUMP biosynthetic process (GO:0006226)	2	0	.66	-	 < 0.01	5.16E-01
UDP biosynthetic process (GO:0006225)	1	0	.33	-	 < 0.01	7.18E-01
uridine catabolic process (GO:0006218)	1	0	.33	-	 < 0.01	7.18E-01
sterol regulatory element binding protein cleavage (GO:0035103)	2	0	.66	-	 < 0.01	5.16E-01
thymine catabolic process (GO:0006210)	2	0	.66	-	 < 0.01	5.16E-01
division septum assembly (GO:0000917)	1	0	.33	-	 < 0.01	7.18E-01
actomyosin contractile ring contraction (GO:0000916)	1	0	.33	-	 < 0.01	7.18E-01
regulation of protein binding (GO:0043393)	2	0	.66	-	 < 0.01	5.16E-01
negative regulation of DNA binding (GO:0043392)	2	0	.66	-	 < 0.01	5.16E-01
pyrimidine nucleobase catabolic process (GO:0006208)	2	0	.66	-	 < 0.01	5.16E-01
dGTP catabolic process (GO:0006203)	1	0	.33	-	 < 0.01	7.18E-01
cell morphogenesis (GO:0000902)	7	0	2.32	-	 < 0.01	9.86E-02
positive regulation of pyruvate dehydrogenase activity (GO:1904184)	1	0	.33	-	 < 0.01	7.18E-01
regulation of pyruvate dehydrogenase activity (GO:1904182)	1	0	.33	-	 < 0.01	7.18E-01
regulation of CENP-A containing nucleosome assembly (GO:1903097)	1	0	.33	-	 < 0.01	7.18E-01
endonucleolytic cleavage involved in tRNA processing (GO:1905267)	3	0	.99	-	 < 0.01	3.71E-01
protein localization to condensed chromosome (GO:1903083)	5	0	1.65	-	 < 0.01	1.91E-01
ubiquitin-dependent endocytosis (GO:0070086)	4	0	1.32	-	 < 0.01	2.66E-01
establishment of protein localization to chromatin (GO:0071169)	1	0	.33	-	 < 0.01	7.18E-01
protein localization to chromatin (GO:0071168)	1	0	.33	-	 < 0.01	7.18E-01
lipid storage (GO:0019915)	5	0	1.65	-	 < 0.01	1.91E-01
positive regulation of protein localization to plasma membrane (GO:1903078)	2	0	.66	-	 < 0.01	5.16E-01
DNA synthesis involved in UV-damage excision repair (GO:1904161)	2	0	.66	-	 < 0.01	5.16E-01
regulation of protein localization to plasma membrane (GO:1903076)	2	0	.66	-	 < 0.01	5.16E-01
DNA replication preinitiation complex assembly (GO:0071163)	3	0	.99	-	 < 0.01	3.71E-01
receptor-mediated endocytosis (GO:0006898)	8	0	2.65	-	 < 0.01	7.08E-02
vacuolar proton-transporting V-type ATPase complex assembly (GO:0070072)	4	0	1.32	-	 < 0.01	2.66E-01
Golgi to endosome transport (GO:0006895)	6	0	1.99	-	 < 0.01	1.37E-01
proton-transporting V-type ATPase complex assembly (GO:0070070)	4	0	1.32	-	 < 0.01	2.66E-01
positive regulation of mitochondrial DNA replication (GO:0090297)	1	0	.33	-	 < 0.01	7.18E-01
regulation of mitochondrial DNA replication (GO:0090296)	1	0	.33	-	 < 0.01	7.18E-01
nitrogen catabolite activation of transcription (GO:0090294)	3	0	.99	-	 < 0.01	3.71E-01
nitrogen catabolite regulation of transcription (GO:0090293)	3	0	.99	-	 < 0.01	3.71E-01
positive regulation of protein localization to cell tip (GO:1903068)	1	0	.33	-	 < 0.01	7.18E-01
regulation of protein localization to cell tip (GO:1903066)	1	0	.33	-	 < 0.01	7.18E-01
cell volume homeostasis (GO:0006884)	2	0	.66	-	 < 0.01	5.16E-01
intracellular sequestering of iron ion (GO:0006880)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of calcium ion import (GO:0090280)	1	0	.33	-	 < 0.01	7.18E-01
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	1	0	.33	-	 < 0.01	7.18E-01
regulation of calcium ion import (GO:0090279)	1	0	.33	-	 < 0.01	7.18E-01
spore wall assembly (GO:0042244)	2	0	.66	-	 < 0.01	5.16E-01
maintenance of DNA trinucleotide repeats (GO:0035753)	2	0	.66	-	 < 0.01	5.16E-01
pyrimidine nucleotide transport (GO:0006864)	1	0	.33	-	 < 0.01	7.18E-01
protein glycosylation in endoplasmic reticulum (GO:0033577)	1	0	.33	-	 < 0.01	7.18E-01
Cdc42 protein signal transduction (GO:0032488)	1	0	.33	-	 < 0.01	7.18E-01
mitochondrial calcium ion transmembrane transport (GO:0006851)	1	0	.33	-	 < 0.01	7.18E-01
DNA replication, Okazaki fragment processing (GO:0033567)	3	0	.99	-	 < 0.01	3.71E-01
Golgi calcium ion transport (GO:0032472)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1903026)	1	0	.33	-	 < 0.01	7.18E-01
regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1903025)	1	0	.33	-	 < 0.01	7.18E-01
regulation of initiation of mating projection growth (GO:0031384)	1	0	.33	-	 < 0.01	7.18E-01
regulation of mating projection assembly (GO:0031383)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands (GO:1903022)	1	0	.33	-	 < 0.01	7.18E-01
regulation of phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands (GO:1903021)	1	0	.33	-	 < 0.01	7.18E-01
acetate transport (GO:0006846)	1	0	.33	-	 < 0.01	7.18E-01
acyl carnitine transport (GO:0006844)	3	0	.99	-	 < 0.01	3.71E-01
cellular response to UV (GO:0034644)	7	0	2.32	-	 < 0.01	9.86E-02
establishment of mitochondrion localization, microtubule-mediated (GO:0034643)	1	0	.33	-	 < 0.01	7.18E-01
Golgi calcium ion homeostasis (GO:0032468)	1	0	.33	-	 < 0.01	7.18E-01
protein K48-linked deubiquitination (GO:0071108)	2	0	.66	-	 < 0.01	5.16E-01
regulation of glycoprotein metabolic process (GO:1903018)	1	0	.33	-	 < 0.01	7.18E-01
adenosine 3',5'-bisphosphate transmembrane transport (GO:0071106)	1	0	.33	-	 < 0.01	7.18E-01
meiotic recombination checkpoint signaling (GO:0051598)	1	0	.33	-	 < 0.01	7.18E-01
microtubule anchoring at spindle pole body (GO:0034631)	1	0	.33	-	 < 0.01	7.18E-01
regulation of centromere complex assembly (GO:0090230)	1	0	.33	-	 < 0.01	7.18E-01
tRNA import into nucleus (GO:0035719)	1	0	.33	-	 < 0.01	7.18E-01
manganese ion transport (GO:0006828)	5	0	1.65	-	 < 0.01	1.91E-01
cellular protein-containing complex localization (GO:0034629)	3	0	.99	-	 < 0.01	3.71E-01
cobalt ion transport (GO:0006824)	1	0	.33	-	 < 0.01	7.18E-01
fatty acid elongation, polyunsaturated fatty acid (GO:0034626)	2	0	.66	-	 < 0.01	5.16E-01
fatty acid elongation, monounsaturated fatty acid (GO:0034625)	2	0	.66	-	 < 0.01	5.16E-01
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	2	0	.66	-	 < 0.01	5.16E-01
regulation of meiotic nuclear division (GO:0040020)	1	0	.33	-	 < 0.01	7.18E-01
response to zinc ion (GO:0010043)	1	0	.33	-	 < 0.01	7.18E-01
chromosome localization to nuclear envelope involved in homologous chromosome segregation (GO:0090220)	1	0	.33	-	 < 0.01	7.18E-01
regulation of ergosterol biosynthetic process (GO:0032443)	1	0	.33	-	 < 0.01	7.18E-01
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	7	0	2.32	-	 < 0.01	9.86E-02
positive regulation of locomotion (GO:0040017)	1	0	.33	-	 < 0.01	7.18E-01
regulation of locomotion (GO:0040012)	1	0	.33	-	 < 0.01	7.18E-01
S-methylmethionine cycle (GO:0033528)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of histone H3-K9 methylation (GO:0051573)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of histone H3-K4 methylation (GO:0051572)	1	0	.33	-	 < 0.01	7.18E-01
regulation of histone H3-K9 methylation (GO:0051570)	1	0	.33	-	 < 0.01	7.18E-01
meiotic chromosome condensation (GO:0010032)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	1	0	.33	-	 < 0.01	7.18E-01
regulation of fungal-type cell wall organization (GO:0060237)	2	0	.66	-	 < 0.01	5.16E-01
regulation of cell projection organization (GO:0031344)	1	0	.33	-	 < 0.01	7.18E-01
xenobiotic metabolic process (GO:0006805)	3	0	.99	-	 < 0.01	3.71E-01
regulation of histone H3-K4 methylation (GO:0051569)	2	0	.66	-	 < 0.01	5.16E-01
histone H3-K4 methylation (GO:0051568)	6	0	1.99	-	 < 0.01	1.37E-01
cyclic purine nucleotide metabolic process (GO:0052652)	1	0	.33	-	 < 0.01	7.18E-01
monoacylglycerol catabolic process (GO:0052651)	1	0	.33	-	 < 0.01	7.18E-01
vesicle targeting, to, from or within Golgi (GO:0048199)	2	0	.66	-	 < 0.01	5.16E-01
mitochondrial calcium ion homeostasis (GO:0051560)	1	0	.33	-	 < 0.01	7.18E-01
L-lysine catabolic process to acetyl-CoA via saccharopine (GO:0033512)	1	0	.33	-	 < 0.01	7.18E-01
Golgi vesicle budding (GO:0048194)	2	0	.66	-	 < 0.01	5.16E-01
regulation of sulfur amino acid metabolic process (GO:0031335)	1	0	.33	-	 < 0.01	7.18E-01
histone H4-K12 acetylation (GO:0043983)	1	0	.33	-	 < 0.01	7.18E-01
histone H4-K8 acetylation (GO:0043982)	1	0	.33	-	 < 0.01	7.18E-01
histone H4-K5 acetylation (GO:0043981)	1	0	.33	-	 < 0.01	7.18E-01
autophagy of peroxisome (GO:0030242)	6	0	1.99	-	 < 0.01	1.37E-01
negative regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060212)	1	0	.33	-	 < 0.01	7.18E-01
histone H3-K23 acetylation (GO:0043972)	2	0	.66	-	 < 0.01	5.16E-01
ascospore-type prospore-specific spindle pole body remodeling (GO:0031322)	1	0	.33	-	 < 0.01	7.18E-01
ascospore-type prospore assembly (GO:0031321)	2	0	.66	-	 < 0.01	5.16E-01
cysteine transport (GO:0042883)	1	0	.33	-	 < 0.01	7.18E-01
peptidyl-glutamine modification (GO:0018199)	2	0	.66	-	 < 0.01	5.16E-01
histone H2A acetylation (GO:0043968)	5	0	1.65	-	 < 0.01	1.91E-01
histone H3 acetylation (GO:0043966)	7	0	2.32	-	 < 0.01	9.86E-02
nuclear inner membrane organization (GO:0071765)	1	0	.33	-	 < 0.01	7.18E-01
spliceosomal tri-snRNP complex assembly (GO:0000244)	4	0	1.32	-	 < 0.01	2.66E-01
regulation of cysteine metabolic process (GO:1901494)	1	0	.33	-	 < 0.01	7.18E-01
antisense RNA metabolic process (GO:0042868)	1	0	.33	-	 < 0.01	7.18E-01
pyruvate biosynthetic process (GO:0042866)	2	0	.66	-	 < 0.01	5.16E-01
glycine biosynthetic process from serine (GO:0019264)	1	0	.33	-	 < 0.01	7.18E-01
N-acetylneuraminate catabolic process (GO:0019262)	1	0	.33	-	 < 0.01	7.18E-01
regulation of sexual sporulation resulting in formation of a cellular spore (GO:0043940)	1	0	.33	-	 < 0.01	7.18E-01
nonfunctional rRNA decay (GO:0070651)	2	0	.66	-	 < 0.01	5.16E-01
actin filament bundle distribution (GO:0070650)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of protein localization to chromatin (GO:0120187)	1	0	.33	-	 < 0.01	7.18E-01
