




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (1959)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
long-day photoperiodism (GO:0048571)	1	0	.12	-	 < 0.01	8.86E-01
notochord morphogenesis (GO:0048570)	10	0	1.21	-	 < 0.01	2.99E-01
positive regulation of steroid hormone biosynthetic process (GO:0090031)	3	0	.36	-	 < 0.01	6.96E-01
prolactin secretion (GO:0070459)	4	0	.48	-	 < 0.01	6.17E-01
post-embryonic animal organ development (GO:0048569)	17	0	2.05	-	 < 0.01	1.29E-01
ectodermal digestive tract morphogenesis (GO:0048567)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of monocyte chemotaxis (GO:0090027)	6	0	.72	-	 < 0.01	4.85E-01
post-embryonic animal organ morphogenesis (GO:0048563)	9	0	1.08	-	 < 0.01	3.38E-01
negative regulation of neutrophil chemotaxis (GO:0090024)	3	0	.36	-	 < 0.01	6.96E-01
positive regulation of oligodendrocyte progenitor proliferation (GO:0070447)	3	0	.36	-	 < 0.01	6.96E-01
negative regulation of oligodendrocyte progenitor proliferation (GO:0070446)	1	0	.12	-	 < 0.01	8.86E-01
regulation of oligodendrocyte progenitor proliferation (GO:0070445)	8	0	.96	-	 < 0.01	3.81E-01
negative regulation of pinocytosis (GO:0048550)	5	0	.60	-	 < 0.01	5.47E-01
transforming growth factor beta receptor signaling pathway involved in primitive streak formation (GO:0090010)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070434)	4	0	.48	-	 < 0.01	6.17E-01
negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070433)	2	0	.24	-	 < 0.01	7.86E-01
regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070432)	6	0	.72	-	 < 0.01	4.85E-01
nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070431)	5	0	.60	-	 < 0.01	5.47E-01
positive regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway (GO:0070430)	3	0	.36	-	 < 0.01	6.96E-01
negative regulation of B cell receptor signaling pathway (GO:0050859)	7	0	.84	-	 < 0.01	4.30E-01
positive regulation of calcium-mediated signaling (GO:0050850)	28	0	3.38	-	 < 0.01	3.41E-02
Peyer's patch development (GO:0048541)	8	0	.96	-	 < 0.01	3.81E-01
negative regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway (GO:0070429)	1	0	.12	-	 < 0.01	8.86E-01
regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway (GO:0070428)	4	0	.48	-	 < 0.01	6.17E-01
nucleotide-binding oligomerization domain containing 1 signaling pathway (GO:0070427)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070426)	5	0	.60	-	 < 0.01	5.47E-01
negative regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070425)	2	0	.24	-	 < 0.01	7.86E-01
cell wall macromolecule catabolic process (GO:0016998)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of calcium-mediated signaling (GO:0050849)	18	0	2.17	-	 < 0.01	1.14E-01
progesterone receptor signaling pathway (GO:0050847)	9	0	1.08	-	 < 0.01	3.38E-01
bone marrow development (GO:0048539)	7	0	.84	-	 < 0.01	4.30E-01
mucosa-associated lymphoid tissue development (GO:0048537)	8	0	.96	-	 < 0.01	3.81E-01
negative regulation of heterochromatin organization (GO:0120262)	5	0	.60	-	 < 0.01	5.47E-01
trehalose metabolism in response to stress (GO:0070413)	1	0	.12	-	 < 0.01	8.86E-01
olefinic compound catabolic process (GO:0120256)	1	0	.12	-	 < 0.01	8.86E-01
carbamoyl phosphate biosynthetic process (GO:0070409)	1	0	.12	-	 < 0.01	8.86E-01
carbamoyl phosphate metabolic process (GO:0070408)	1	0	.12	-	 < 0.01	8.86E-01
oxidation-dependent protein catabolic process (GO:0070407)	1	0	.12	-	 < 0.01	8.86E-01
transposition, RNA-mediated (GO:0032197)	2	0	.24	-	 < 0.01	7.86E-01
transposition (GO:0032196)	4	0	.48	-	 < 0.01	6.17E-01
ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate (GO:0032194)	1	0	.12	-	 < 0.01	8.86E-01
regulation of liquid surface tension (GO:0050828)	2	0	.24	-	 < 0.01	7.86E-01
peptide antigen stabilization (GO:0050823)	1	0	.12	-	 < 0.01	8.86E-01
peptide stabilization (GO:0050822)	1	0	.12	-	 < 0.01	8.86E-01
histone H3-K14 acetylation (GO:0044154)	7	0	.84	-	 < 0.01	4.30E-01
septin cytoskeleton organization (GO:0032185)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of D-amino-acid oxidase activity (GO:1900758)	1	0	.12	-	 < 0.01	8.86E-01
regulation of D-amino-acid oxidase activity (GO:1900757)	1	0	.12	-	 < 0.01	8.86E-01
doxorubicin transport (GO:1900753)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of formation of structure involved in a symbiotic process (GO:0044147)	1	0	.12	-	 < 0.01	8.86E-01
modulation of formation of structure involved in a symbiotic process (GO:0044145)	1	0	.12	-	 < 0.01	8.86E-01
(R)-carnitine transport (GO:1900749)	1	0	.12	-	 < 0.01	8.86E-01
circadian sleep/wake cycle, sleep (GO:0050802)	3	0	.36	-	 < 0.01	6.96E-01
protein localization to motile cilium (GO:0120229)	2	0	.24	-	 < 0.01	7.86E-01
larynx development (GO:0120224)	2	0	.24	-	 < 0.01	7.86E-01
larynx morphogenesis (GO:0120223)	2	0	.24	-	 < 0.01	7.86E-01
astrocyte-dopaminergic neuron signaling (GO:0036520)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of phospholipase C-activating G protein-coupled receptor signaling pathway (GO:1900737)	1	0	.12	-	 < 0.01	8.86E-01
chemorepulsion of dopaminergic neuron axon (GO:0036518)	2	0	.24	-	 < 0.01	7.86E-01
chemoattraction of serotonergic neuron axon (GO:0036517)	1	0	.12	-	 < 0.01	8.86E-01
serotonergic neuron axon guidance (GO:0036515)	2	0	.24	-	 < 0.01	7.86E-01
dopaminergic neuron axon guidance (GO:0036514)	3	0	.36	-	 < 0.01	6.96E-01
trimming of second mannose on A branch (GO:0036512)	2	0	.24	-	 < 0.01	7.86E-01
proacrosomal vesicle fusion (GO:0120211)	1	0	.12	-	 < 0.01	8.86E-01
trimming of first mannose on A branch (GO:0036511)	2	0	.24	-	 < 0.01	7.86E-01
trimming of terminal mannose on C branch (GO:0036510)	3	0	.36	-	 < 0.01	6.96E-01
positive regulation by symbiont of entry into host (GO:0075294)	12	0	1.45	-	 < 0.01	2.35E-01
positive regulation of uterine smooth muscle relaxation (GO:1900721)	1	0	.12	-	 < 0.01	8.86E-01
trimming of terminal mannose on B branch (GO:0036509)	2	0	.24	-	 < 0.01	7.86E-01
protein alpha-1,2-demannosylation (GO:0036508)	23	0	2.77	-	 < 0.01	6.24E-02
protein demannosylation (GO:0036507)	23	0	2.77	-	 < 0.01	6.24E-02
formation of structure involved in a symbiotic process (GO:0044111)	1	0	.12	-	 < 0.01	8.86E-01
regulation of uterine smooth muscle relaxation (GO:1900719)	1	0	.12	-	 < 0.01	8.86E-01
cellular alcohol biosynthetic process (GO:0044108)	4	0	.48	-	 < 0.01	6.17E-01
cellular alcohol metabolic process (GO:0044107)	4	0	.48	-	 < 0.01	6.17E-01
sequestering of zinc ion (GO:0032119)	4	0	.48	-	 < 0.01	6.17E-01
negative regulation of response to nutrient levels (GO:0032108)	11	0	1.33	-	 < 0.01	2.65E-01
negative regulation of response to extracellular stimulus (GO:0032105)	11	0	1.33	-	 < 0.01	2.65E-01
cell dedifferentiation (GO:0043697)	5	0	.60	-	 < 0.01	5.47E-01
dedifferentiation (GO:0043696)	5	0	.60	-	 < 0.01	5.47E-01
negative regulation of low-density lipoprotein receptor activity (GO:1905598)	5	0	.60	-	 < 0.01	5.47E-01
positive regulation of low-density lipoprotein particle receptor binding (GO:1905597)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of low-density lipoprotein particle receptor binding (GO:1905596)	1	0	.12	-	 < 0.01	8.86E-01
regulation of low-density lipoprotein particle receptor binding (GO:1905595)	2	0	.24	-	 < 0.01	7.86E-01
centrosome separation (GO:0051299)	8	0	.96	-	 < 0.01	3.81E-01
establishment of meiotic spindle orientation (GO:0051296)	1	0	.12	-	 < 0.01	8.86E-01
mRNA cleavage involved in gene silencing (GO:0098795)	1	0	.12	-	 < 0.01	8.86E-01
co-translational protein modification (GO:0043686)	2	0	.24	-	 < 0.01	7.86E-01
establishment of meiotic spindle localization (GO:0051295)	5	0	.60	-	 < 0.01	5.47E-01
induction of programmed cell death (GO:0012502)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of L-arginine import across plasma membrane (GO:1905589)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of low-density lipoprotein particle clearance (GO:1905581)	3	0	.36	-	 < 0.01	6.96E-01
positive regulation of sequestering of calcium ion (GO:0051284)	14	0	1.69	-	 < 0.01	1.85E-01
exosomal secretion (GO:1990182)	3	0	.36	-	 < 0.01	6.96E-01
negative regulation of release of sequestered calcium ion into cytosol (GO:0051280)	13	0	1.57	-	 < 0.01	2.08E-01
mitochondrial tRNA 3'-end processing (GO:1990180)	3	0	.36	-	 < 0.01	6.96E-01
ganglioside GM1 transport to membrane (GO:1905572)	1	0	.12	-	 < 0.01	8.86E-01
protein localization to nucleoplasm (GO:1990173)	1	0	.12	-	 < 0.01	8.86E-01
G protein-coupled receptor catabolic process (GO:1990172)	1	0	.12	-	 < 0.01	8.86E-01
stress response to cadmium ion (GO:1990170)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of vascular endothelial cell proliferation (GO:1905563)	5	0	.60	-	 < 0.01	5.47E-01
protein K33-linked deubiquitination (GO:1990168)	4	0	.48	-	 < 0.01	6.17E-01
protein K27-linked deubiquitination (GO:1990167)	4	0	.48	-	 < 0.01	6.17E-01
protein localization to site of double-strand break (GO:1990166)	5	0	.60	-	 < 0.01	5.47E-01
recognition of apoptotic cell (GO:0043654)	7	0	.84	-	 < 0.01	4.30E-01
histone H2A phosphorylation (GO:1990164)	5	0	.60	-	 < 0.01	5.47E-01
mitochondrial fragmentation involved in apoptotic process (GO:0043653)	8	0	.96	-	 < 0.01	3.81E-01
cellular response to interleukin-8 (GO:0098759)	3	0	.36	-	 < 0.01	6.96E-01
response to interleukin-8 (GO:0098758)	3	0	.36	-	 < 0.01	6.96E-01
cellular response to interleukin-21 (GO:0098757)	8	0	.96	-	 < 0.01	3.81E-01
meiotic spindle midzone assembly (GO:0051257)	2	0	.24	-	 < 0.01	7.86E-01
response to interleukin-21 (GO:0098756)	8	0	.96	-	 < 0.01	3.81E-01
regulation of mitotic cell cycle, embryonic (GO:0009794)	4	0	.48	-	 < 0.01	6.17E-01
mitotic spindle midzone assembly (GO:0051256)	6	0	.72	-	 < 0.01	4.85E-01
spindle midzone assembly (GO:0051255)	10	0	1.21	-	 < 0.01	2.99E-01
negative regulation of formation of translation preinitiation complex (GO:1901194)	1	0	.12	-	 < 0.01	8.86E-01
regulation of formation of translation preinitiation complex (GO:1901193)	1	0	.12	-	 < 0.01	8.86E-01
cellular response to phenylpropanoid (GO:1905546)	1	0	.12	-	 < 0.01	8.86E-01
cerebellar neuron development (GO:0098749)	3	0	.36	-	 < 0.01	6.96E-01
regulation of L-arginine import across plasma membrane (GO:1905541)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of ephrin receptor signaling pathway (GO:1901189)	1	0	.12	-	 < 0.01	8.86E-01
regulation of asymmetric cell division (GO:0009786)	4	0	.48	-	 < 0.01	6.17E-01
fast, calcium ion-dependent exocytosis of neurotransmitter (GO:0098746)	1	0	.12	-	 < 0.01	8.86E-01
regulation of ephrin receptor signaling pathway (GO:1901187)	2	0	.24	-	 < 0.01	7.86E-01
maintenance of translational fidelity (GO:1990145)	2	0	.24	-	 < 0.01	7.86E-01
intrinsic apoptotic signaling pathway in response to hypoxia (GO:1990144)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of eukaryotic translation initiation factor 4F complex assembly (GO:1905537)	1	0	.12	-	 < 0.01	8.86E-01
regulation of eukaryotic translation initiation factor 4F complex assembly (GO:1905535)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of leucine import across plasma membrane (GO:1905533)	2	0	.24	-	 < 0.01	7.86E-01
regulation of leucine import across plasma membrane (GO:1905532)	2	0	.24	-	 < 0.01	7.86E-01
sequestering of metal ion (GO:0051238)	10	0	1.21	-	 < 0.01	2.99E-01
negative regulation of the force of heart contraction (GO:0098736)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of the force of heart contraction (GO:0098735)	5	0	.60	-	 < 0.01	5.47E-01
macromolecule depalmitoylation (GO:0098734)	11	0	1.33	-	 < 0.01	2.65E-01
epithelial cell apoptotic process involved in palatal shelf morphogenesis (GO:1990134)	1	0	.12	-	 < 0.01	8.86E-01
cortical microtubule organization (GO:0043622)	4	0	.48	-	 < 0.01	6.17E-01
spindle elongation (GO:0051231)	6	0	.72	-	 < 0.01	4.85E-01
spindle disassembly (GO:0051230)	2	0	.24	-	 < 0.01	7.86E-01
naphthalene catabolic process (GO:1901170)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of heat generation (GO:0031652)	10	0	1.21	-	 < 0.01	2.99E-01
negative regulation of heat generation (GO:0031651)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of Golgi lumen acidification (GO:1905528)	1	0	.12	-	 < 0.01	8.86E-01
regulation of Golgi lumen acidification (GO:1905526)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of protein autoubiquitination (GO:1905524)	1	0	.12	-	 < 0.01	8.86E-01
germline stem cell asymmetric division (GO:0098728)	4	0	.48	-	 < 0.01	6.17E-01
positive regulation of presynaptic active zone assembly (GO:1905520)	2	0	.24	-	 < 0.01	7.86E-01
mitotic spindle disassembly (GO:0051228)	2	0	.24	-	 < 0.01	7.86E-01
symmetric cell division (GO:0098725)	1	0	.12	-	 < 0.01	8.86E-01
keratinocyte proliferation (GO:0043616)	10	0	1.21	-	 < 0.01	2.99E-01
astrocyte cell migration (GO:0043615)	5	0	.60	-	 < 0.01	5.47E-01
negative regulation of trophoblast cell migration (GO:1901164)	6	0	.72	-	 < 0.01	4.85E-01
asymmetric stem cell division (GO:0098722)	4	0	.48	-	 < 0.01	6.17E-01
regulation of carbohydrate utilization (GO:0043610)	1	0	.12	-	 < 0.01	8.86E-01
heat generation (GO:0031649)	5	0	.60	-	 < 0.01	5.47E-01
regulation of presynaptic active zone assembly (GO:1905518)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of short-term synaptic potentiation (GO:1905513)	1	0	.12	-	 < 0.01	8.86E-01
regulation of short-term synaptic potentiation (GO:1905512)	1	0	.12	-	 < 0.01	8.86E-01
sodium ion import across plasma membrane (GO:0098719)	18	0	2.17	-	 < 0.01	1.14E-01
hexose mediated signaling (GO:0009757)	3	0	.36	-	 < 0.01	6.96E-01
serine import across plasma membrane (GO:0098718)	1	0	.12	-	 < 0.01	8.86E-01
carbohydrate mediated signaling (GO:0009756)	5	0	.60	-	 < 0.01	5.47E-01
B cell receptor apoptotic signaling pathway (GO:1990117)	1	0	.12	-	 < 0.01	8.86E-01
formamide metabolic process (GO:0043606)	3	0	.36	-	 < 0.01	6.96E-01
RNA polymerase II core complex assembly (GO:1990114)	1	0	.12	-	 < 0.01	8.86E-01
nitrate catabolic process (GO:0043602)	1	0	.12	-	 < 0.01	8.86E-01
adenylate cyclase-inhibiting opioid receptor signaling pathway (GO:0031635)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031632)	3	0	.36	-	 < 0.01	6.96E-01
regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031630)	7	0	.84	-	 < 0.01	4.30E-01
positive regulation of motile cilium assembly (GO:1905505)	1	0	.12	-	 < 0.01	8.86E-01
regulation of motile cilium assembly (GO:1905503)	1	0	.12	-	 < 0.01	8.86E-01
glucose import across plasma membrane (GO:0098708)	4	0	.48	-	 < 0.01	6.17E-01
sequestering of calcium ion (GO:0051208)	5	0	.60	-	 < 0.01	5.47E-01
gene expression involved in extracellular matrix organization (GO:1901148)	1	0	.12	-	 < 0.01	8.86E-01
protein linear deubiquitination (GO:1990108)	2	0	.24	-	 < 0.01	7.86E-01
copper ion import across plasma membrane (GO:0098705)	1	0	.12	-	 < 0.01	8.86E-01
insulin catabolic process (GO:1901143)	3	0	.36	-	 < 0.01	6.96E-01
positive regulation of fever generation (GO:0031622)	7	0	.84	-	 < 0.01	4.30E-01
detection of hexose stimulus (GO:0009732)	3	0	.36	-	 < 0.01	6.96E-01
detection of carbohydrate stimulus (GO:0009730)	3	0	.36	-	 < 0.01	6.96E-01
detection of endogenous stimulus (GO:0009726)	3	0	.36	-	 < 0.01	6.96E-01
gentamycin metabolic process (GO:1901128)	1	0	.12	-	 < 0.01	8.86E-01
detection of lipoteichoic acid (GO:0070392)	1	0	.12	-	 < 0.01	8.86E-01
response to lipoteichoic acid (GO:0070391)	10	0	1.21	-	 < 0.01	2.99E-01
tRNA-guanine transglycosylation (GO:0101030)	3	0	.36	-	 < 0.01	6.96E-01
DNA cytosine deamination (GO:0070383)	9	0	1.08	-	 < 0.01	3.38E-01
ERK5 cascade (GO:0070375)	2	0	.24	-	 < 0.01	7.86E-01
activated T cell proliferation (GO:0050798)	4	0	.48	-	 < 0.01	6.17E-01
positive regulation of hepatocyte differentiation (GO:0070368)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of hepatocyte differentiation (GO:0070367)	1	0	.12	-	 < 0.01	8.86E-01
regulation of hepatocyte differentiation (GO:0070366)	2	0	.24	-	 < 0.01	7.86E-01
cocaine metabolic process (GO:0050783)	1	0	.12	-	 < 0.01	8.86E-01
actin polymerization-dependent cell motility (GO:0070358)	6	0	.72	-	 < 0.01	4.85E-01
negative regulation of dendrite morphogenesis (GO:0050774)	9	0	1.08	-	 < 0.01	3.38E-01
regulation of translational initiation by eIF2 alpha dephosphorylation (GO:0036496)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of brown fat cell proliferation (GO:0070349)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of translation initiation in response to endoplasmic reticulum stress (GO:0036494)	1	0	.12	-	 < 0.01	8.86E-01
regulation of brown fat cell proliferation (GO:0070347)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of translation in response to endoplasmic reticulum stress (GO:0036493)	5	0	.60	-	 < 0.01	5.47E-01
positive regulation of protein localization to chromatin (GO:0120187)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of protein localization to chromatin (GO:0120186)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of focal adhesion disassembly (GO:0120183)	6	0	.72	-	 < 0.01	4.85E-01
regulation of focal adhesion disassembly (GO:0120182)	6	0	.72	-	 < 0.01	4.85E-01
intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:0036481)	2	0	.24	-	 < 0.01	7.86E-01
neuron death in response to oxidative stress (GO:0036475)	4	0	.48	-	 < 0.01	6.17E-01
trans-synaptic signaling by BDNF (GO:0099191)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of lipoprotein metabolic process (GO:0050748)	5	0	.60	-	 < 0.01	5.47E-01
detection of cold stimulus involved in thermoception (GO:0120169)	2	0	.24	-	 < 0.01	7.86E-01
trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0099183)	2	0	.24	-	 < 0.01	7.86E-01
zinc ion import into synaptic vesicle (GO:0099180)	2	0	.24	-	 < 0.01	7.86E-01
G1 to G0 transition involved in cell differentiation (GO:0070315)	5	0	.60	-	 < 0.01	5.47E-01
G1 to G0 transition (GO:0070314)	10	0	1.21	-	 < 0.01	2.99E-01
regulation of synaptic membrane adhesion (GO:0099179)	4	0	.48	-	 < 0.01	6.17E-01
regulation of retrograde trans-synaptic signaling by endocanabinoid (GO:0099178)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of collagen catabolic process (GO:0120158)	1	0	.12	-	 < 0.01	8.86E-01
lens fiber cell morphogenesis (GO:0070309)	6	0	.72	-	 < 0.01	4.85E-01
negative regulation of ERBB4 signaling pathway (GO:0120154)	1	0	.12	-	 < 0.01	8.86E-01
presynaptic modulation of chemical synaptic transmission (GO:0099171)	9	0	1.08	-	 < 0.01	3.38E-01
cap mRNA methylation (GO:0036451)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of appetite (GO:0032099)	11	0	1.33	-	 < 0.01	2.65E-01
negative regulation of response to food (GO:0032096)	11	0	1.33	-	 < 0.01	2.65E-01
synaptic signaling by nitric oxide (GO:0099163)	3	0	.36	-	 < 0.01	6.96E-01
calcium import into the mitochondrion (GO:0036444)	6	0	.72	-	 < 0.01	4.85E-01
translocation of peptides or proteins into host cell cytoplasm (GO:0044053)	1	0	.12	-	 < 0.01	8.86E-01
regulation of recycling endosome localization within postsynapse (GO:0099158)	1	0	.12	-	 < 0.01	8.86E-01
cell-cell signaling via exosome (GO:0099156)	1	0	.12	-	 < 0.01	8.86E-01
maintenance of lens transparency (GO:0036438)	4	0	.48	-	 < 0.01	6.17E-01
regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0099152)	2	0	.24	-	 < 0.01	7.86E-01
negative regulation of endodeoxyribonuclease activity (GO:0032078)	1	0	.12	-	 < 0.01	8.86E-01
negative regulation of deoxyribonuclease activity (GO:0032076)	2	0	.24	-	 < 0.01	7.86E-01
regulation of restriction endodeoxyribonuclease activity (GO:0032072)	1	0	.12	-	 < 0.01	8.86E-01
cell wall macromolecule biosynthetic process (GO:0044038)	1	0	.12	-	 < 0.01	8.86E-01
cell wall macromolecule metabolic process (GO:0044036)	4	0	.48	-	 < 0.01	6.17E-01
multi-organism catabolic process (GO:0044035)	1	0	.12	-	 < 0.01	8.86E-01
multi-organism metabolic process (GO:0044033)	1	0	.12	-	 < 0.01	8.86E-01
bleb assembly (GO:0032060)	8	0	.96	-	 < 0.01	3.81E-01
hypomethylation of CpG island (GO:0044029)	2	0	.24	-	 < 0.01	7.86E-01
DNA hypomethylation (GO:0044028)	2	0	.24	-	 < 0.01	7.86E-01
hypermethylation of CpG island (GO:0044027)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of translational initiation in response to stress (GO:0032058)	4	0	.48	-	 < 0.01	6.17E-01
positive regulation of translation in response to stress (GO:0032056)	9	0	1.08	-	 < 0.01	3.38E-01
ciliary basal body organization (GO:0032053)	3	0	.36	-	 < 0.01	6.96E-01
conversion of ds siRNA to ss siRNA (GO:0036404)	1	0	.12	-	 < 0.01	8.86E-01
tRNA 5'-end processing (GO:0099116)	14	0	1.69	-	 < 0.01	1.85E-01
box H/ACA RNA 3'-end processing (GO:0000495)	2	0	.24	-	 < 0.01	7.86E-01
box C/D RNA 3'-end processing (GO:0000494)	2	0	.24	-	 < 0.01	7.86E-01
maturation of 5S rRNA (GO:0000481)	1	0	.12	-	 < 0.01	8.86E-01
response to magnesium ion (GO:0032026)	18	0	2.17	-	 < 0.01	1.14E-01
trypsinogen activation (GO:0032023)	1	0	.12	-	 < 0.01	8.86E-01
ISG15-protein conjugation (GO:0032020)	4	0	.48	-	 < 0.01	6.17E-01
positive regulation of ARF protein signal transduction (GO:0032014)	2	0	.24	-	 < 0.01	7.86E-01
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)	9	0	1.08	-	 < 0.01	3.38E-01
7,8-dihydroneopterin 3'-triphosphate biosynthetic process (GO:0035998)	1	0	.12	-	 < 0.01	8.86E-01
deltoid tuberosity development (GO:0035993)	1	0	.12	-	 < 0.01	8.86E-01
tendon formation (GO:0035992)	2	0	.24	-	 < 0.01	7.86E-01
tendon cell differentiation (GO:0035990)	2	0	.24	-	 < 0.01	7.86E-01
positive regulation of fatty acid beta-oxidation (GO:0032000)	10	0	1.21	-	 < 0.01	2.99E-01
exonucleolytic trimming involved in rRNA processing (GO:0000459)	9	0	1.08	-	 < 0.01	3.38E-01
enzyme-directed rRNA pseudouridine synthesis (GO:0000455)	5	0	.60	-	 < 0.01	5.47E-01
enzyme-directed rRNA 2'-O-methylation (GO:0000453)	1	0	.12	-	 < 0.01	8.86E-01
rRNA 2'-O-methylation (GO:0000451)	2	0	.24	-	 < 0.01	7.86E-01
tendon development (GO:0035989)	5	0	.60	-	 < 0.01	5.47E-01
cellular response to trichostatin A (GO:0035984)	3	0	.36	-	 < 0.01	6.96E-01
response to trichostatin A (GO:0035983)	3	0	.36	-	 < 0.01	6.96E-01
response to host (GO:0075136)	10	0	1.21	-	 < 0.01	2.99E-01
cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000448)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of branching morphogenesis of a nerve (GO:1905492)	1	0	.12	-	 < 0.01	8.86E-01
postsynaptic specialization assembly (GO:0098698)	8	0	.96	-	 < 0.01	3.81E-01
histone H2A-S139 phosphorylation (GO:0035978)	2	0	.24	-	 < 0.01	7.86E-01
protein deglycosylation involved in glycoprotein catabolic process (GO:0035977)	5	0	.60	-	 < 0.01	5.47E-01
regulation of synaptic vesicle budding from presynaptic endocytic zone membrane (GO:0098694)	1	0	.12	-	 < 0.01	8.86E-01
nose morphogenesis (GO:0043585)	3	0	.36	-	 < 0.01	6.96E-01
calcium-dependent self proteolysis (GO:1990092)	1	0	.12	-	 < 0.01	8.86E-01
peptidyl-histidine dephosphorylation (GO:0035971)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of motor neuron migration (GO:1905485)	1	0	.12	-	 < 0.01	8.86E-01
carbon catabolite activation of transcription from RNA polymerase II promoter (GO:0000436)	4	0	.48	-	 < 0.01	6.17E-01
positive regulation of transcription from RNA polymerase II promoter by galactose (GO:0000435)	1	0	.12	-	 < 0.01	8.86E-01
regulation of motor neuron migration (GO:1905483)	1	0	.12	-	 < 0.01	8.86E-01
positive regulation of transcription from RNA polymerase II promoter by glucose (GO:0000432)	3	0	.36	-	 < 0.01	6.96E-01
regulation of transcription from RNA polymerase II promoter by galactose (GO:0000431)	1	0	.12	-	 < 0.01	8.86E-01
regulation of transcription from RNA polymerase II promoter by glucose (GO:0000430)	3	0	.36	-	 < 0.01	6.96E-01
lens fiber cell apoptotic process (GO:1990086)	4	0	.48	-	 < 0.01	6.17E-01
cellular response to interleukin-13 (GO:0035963)	3	0	.36	-	 < 0.01	6.96E-01
response to interleukin-13 (GO:0035962)	4	0	.48	-	 < 0.01	6.17E-01
carbon catabolite regulation of transcription from RNA polymerase II promoter (GO:0000429)	4	0	.48	-	 < 0.01	6.17E-01
canonical Wnt signaling pathway involved in stem cell proliferation (GO:1905474)	1	0	.12	-	 < 0.01	8.86E-01
pexophagy (GO:0000425)	7	0	.84	-	 < 0.01	4.30E-01
mitophagy (GO:0000423)	7	0	.84	-	 < 0.01	4.30E-01
polyuridylation-dependent mRNA catabolic process (GO:1990074)	1	0	.12	-	 < 0.01	8.86E-01
cellular response to nitrogen levels (GO:0043562)	11	0	1.33	-	 < 0.01	2.65E-01
wybutosine biosynthetic process (GO:0031591)	2	0	.24	-	 < 0.01	7.86E-01
