




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Synechocystis)
Reference List:	cyano_background_go.txt (Synechocystis)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	cyano_background_go.txt - REFLIST (568)	upload_1 (144)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of transmembrane transport (GO:0034762)	1	0	.25	-	 < 0.01	7.76E-01
cellular response to environmental stimulus (GO:0104004)	1	0	.25	-	 < 0.01	7.76E-01
positive regulation of kinase activity (GO:0033674)	1	0	.25	-	 < 0.01	7.76E-01
DNA synthesis involved in DNA repair (GO:0000731)	2	0	.51	-	 < 0.01	6.02E-01
response to toxic substance (GO:0009636)	4	0	1.01	-	 < 0.01	3.61E-01
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015)	1	0	.25	-	 < 0.01	7.76E-01
response to herbicide (GO:0009635)	1	0	.25	-	 < 0.01	7.76E-01
mannose metabolic process (GO:0006013)	1	0	.25	-	 < 0.01	7.76E-01
phytol metabolic process (GO:0033306)	1	0	.25	-	 < 0.01	7.76E-01
recombinational repair (GO:0000725)	2	0	.51	-	 < 0.01	6.02E-01
double-strand break repair via homologous recombination (GO:0000724)	1	0	.25	-	 < 0.01	7.76E-01
response to abiotic stimulus (GO:0009628)	4	0	1.01	-	 < 0.01	3.61E-01
rRNA processing (GO:0006364)	4	0	1.01	-	 < 0.01	3.61E-01
RNA 3'-end processing (GO:0031123)	1	0	.25	-	 < 0.01	7.76E-01
cellular chemical homeostasis (GO:0055082)	2	0	.51	-	 < 0.01	6.02E-01
anion homeostasis (GO:0055081)	1	0	.25	-	 < 0.01	7.76E-01
defense response to virus (GO:0051607)	1	0	.25	-	 < 0.01	7.76E-01
detection of stimulus (GO:0051606)	1	0	.25	-	 < 0.01	7.76E-01
response to virus (GO:0009615)	1	0	.25	-	 < 0.01	7.76E-01
response to biotic stimulus (GO:0009607)	1	0	.25	-	 < 0.01	7.76E-01
phosphate ion homeostasis (GO:0055062)	1	0	.25	-	 < 0.01	7.76E-01
copper ion import (GO:0015677)	1	0	.25	-	 < 0.01	7.76E-01
cellular cation homeostasis (GO:0030003)	1	0	.25	-	 < 0.01	7.76E-01
cellular anion homeostasis (GO:0030002)	1	0	.25	-	 < 0.01	7.76E-01
metal ion transport (GO:0030001)	1	0	.25	-	 < 0.01	7.76E-01
negative regulation of nucleic acid-templated transcription (GO:1903507)	2	0	.51	-	 < 0.01	6.02E-01
regulation of vacuole fusion, non-autophagic (GO:0032889)	1	0	.25	-	 < 0.01	7.76E-01
tRNA-guanine transglycosylation (GO:0101030)	1	0	.25	-	 < 0.01	7.76E-01
regulation of localization (GO:0032879)	1	0	.25	-	 < 0.01	7.76E-01
UMP catabolic process (GO:0046050)	1	0	.25	-	 < 0.01	7.76E-01
cellular response to chemical stress (GO:0062197)	2	0	.51	-	 < 0.01	6.02E-01
malonyl-CoA biosynthetic process (GO:2001295)	3	0	.76	-	 < 0.01	4.66E-01
malonyl-CoA metabolic process (GO:2001293)	3	0	.76	-	 < 0.01	4.66E-01
DNA methylation (GO:0006306)	1	0	.25	-	 < 0.01	7.76E-01
DNA alkylation (GO:0006305)	1	0	.25	-	 < 0.01	7.76E-01
glycosylation (GO:0070085)	2	0	.51	-	 < 0.01	6.02E-01
DNA modification (GO:0006304)	1	0	.25	-	 < 0.01	7.76E-01
iron coordination entity transport (GO:1901678)	1	0	.25	-	 < 0.01	7.76E-01
double-strand break repair (GO:0006302)	4	0	1.01	-	 < 0.01	3.61E-01
postreplication repair (GO:0006301)	1	0	.25	-	 < 0.01	7.76E-01
tRNA 5'-end processing (GO:0099116)	1	0	.25	-	 < 0.01	7.76E-01
UDP metabolic process (GO:0046048)	1	0	.25	-	 < 0.01	7.76E-01
protein stabilization (GO:0050821)	1	0	.25	-	 < 0.01	7.76E-01
cytokinetic process (GO:0032506)	4	0	1.01	-	 < 0.01	3.61E-01
reproduction of a single-celled organism (GO:0032505)	1	0	.25	-	 < 0.01	7.76E-01
electron transport coupled proton transport (GO:0015990)	2	0	.51	-	 < 0.01	6.02E-01
quinone biosynthetic process (GO:1901663)	5	0	1.27	-	 < 0.01	2.80E-01
glycerophospholipid metabolic process (GO:0006650)	3	0	.76	-	 < 0.01	4.66E-01
quinone metabolic process (GO:1901661)	5	0	1.27	-	 < 0.01	2.80E-01
GMP metabolic process (GO:0046037)	1	0	.25	-	 < 0.01	7.76E-01
CTP metabolic process (GO:0046036)	2	0	.51	-	 < 0.01	6.02E-01
5-phosphoribose 1-diphosphate metabolic process (GO:0046391)	1	0	.25	-	 < 0.01	7.76E-01
energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)	2	0	.51	-	 < 0.01	6.02E-01
negative regulation of phosphate transmembrane transport (GO:2000186)	1	0	.25	-	 < 0.01	7.76E-01
regulation of phosphate transmembrane transport (GO:2000185)	1	0	.25	-	 < 0.01	7.76E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	2	0	.51	-	 < 0.01	6.02E-01
positive regulation of protein modification process (GO:0031401)	1	0	.25	-	 < 0.01	7.76E-01
establishment of protein localization to organelle (GO:0072594)	2	0	.51	-	 < 0.01	6.02E-01
reactive oxygen species metabolic process (GO:0072593)	1	0	.25	-	 < 0.01	7.76E-01
vitamin E biosynthetic process (GO:0010189)	1	0	.25	-	 < 0.01	7.76E-01
deoxyribose phosphate catabolic process (GO:0046386)	1	0	.25	-	 < 0.01	7.76E-01
reproductive process (GO:0022414)	1	0	.25	-	 < 0.01	7.76E-01
cellular component disassembly (GO:0022411)	5	0	1.27	-	 < 0.01	2.80E-01
cell cycle process (GO:0022402)	5	0	1.27	-	 < 0.01	2.80E-01
GDP-L-fucose metabolic process (GO:0046368)	1	0	.25	-	 < 0.01	7.76E-01
monosaccharide biosynthetic process (GO:0046364)	2	0	.51	-	 < 0.01	6.02E-01
cell septum assembly (GO:0090529)	4	0	1.01	-	 < 0.01	3.61E-01
SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	1	0	.25	-	 < 0.01	7.76E-01
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	2	0	.51	-	 < 0.01	6.02E-01
cotranslational protein targeting to membrane (GO:0006613)	2	0	.51	-	 < 0.01	6.02E-01
protein targeting to membrane (GO:0006612)	2	0	.51	-	 < 0.01	6.02E-01
response to osmotic stress (GO:0006970)	1	0	.25	-	 < 0.01	7.76E-01
cellular phosphate ion homeostasis (GO:0030643)	1	0	.25	-	 < 0.01	7.76E-01
FtsZ-dependent cytokinesis (GO:0043093)	1	0	.25	-	 < 0.01	7.76E-01
cellular response to osmotic stress (GO:0071470)	1	0	.25	-	 < 0.01	7.76E-01
positive regulation of cellular process (GO:0048522)	1	0	.25	-	 < 0.01	7.76E-01
pantothenate catabolic process (GO:0015941)	1	0	.25	-	 < 0.01	7.76E-01
pantothenate biosynthetic process (GO:0015940)	1	0	.25	-	 < 0.01	7.76E-01
positive regulation of catalytic activity (GO:0043085)	1	0	.25	-	 < 0.01	7.76E-01
CDP-diacylglycerol metabolic process (GO:0046341)	1	0	.25	-	 < 0.01	7.76E-01
pantothenate metabolic process (GO:0015939)	2	0	.51	-	 < 0.01	6.02E-01
positive regulation of biological process (GO:0048518)	1	0	.25	-	 < 0.01	7.76E-01
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	2	0	.51	-	 < 0.01	6.02E-01
immune response (GO:0006955)	1	0	.25	-	 < 0.01	7.76E-01
cellular response to toxic substance (GO:0097237)	3	0	.76	-	 < 0.01	4.66E-01
defense response (GO:0006952)	1	0	.25	-	 < 0.01	7.76E-01
cellular developmental process (GO:0048869)	2	0	.51	-	 < 0.01	6.02E-01
cellular response to superoxide (GO:0071451)	1	0	.25	-	 < 0.01	7.76E-01
cellular response to oxygen radical (GO:0071450)	1	0	.25	-	 < 0.01	7.76E-01
membrane organization (GO:0061024)	2	0	.51	-	 < 0.01	6.02E-01
pyridine-containing compound catabolic process (GO:0072526)	1	0	.25	-	 < 0.01	7.76E-01
transition metal ion transport (GO:0000041)	2	0	.51	-	 < 0.01	6.02E-01
regulation of photosynthesis (GO:0010109)	3	0	.76	-	 < 0.01	4.66E-01
cellular response to iron ion starvation (GO:0010106)	1	0	.25	-	 < 0.01	7.76E-01
trivalent inorganic anion homeostasis (GO:0072506)	1	0	.25	-	 < 0.01	7.76E-01
cellular trivalent inorganic anion homeostasis (GO:0072502)	1	0	.25	-	 < 0.01	7.76E-01
folic acid biosynthetic process (GO:0046656)	3	0	.76	-	 < 0.01	4.66E-01
folic acid metabolic process (GO:0046655)	3	0	.76	-	 < 0.01	4.66E-01
tetrahydrofolate biosynthetic process (GO:0046654)	4	0	1.01	-	 < 0.01	3.61E-01
N-terminal peptidyl-alanine acetylation (GO:0017189)	1	0	.25	-	 < 0.01	7.76E-01
DNA mediated transformation (GO:0009294)	1	0	.25	-	 < 0.01	7.76E-01
genetic transfer (GO:0009292)	1	0	.25	-	 < 0.01	7.76E-01
ribosomal small subunit assembly (GO:0000028)	2	0	.51	-	 < 0.01	6.02E-01
ribosomal large subunit assembly (GO:0000027)	1	0	.25	-	 < 0.01	7.76E-01
glutaminyl-tRNAGln biosynthesis via transamidation (GO:0070681)	1	0	.25	-	 < 0.01	7.76E-01
siroheme biosynthetic process (GO:0019354)	2	0	.51	-	 < 0.01	6.02E-01
polyprenol biosynthetic process (GO:0016094)	1	0	.25	-	 < 0.01	7.76E-01
polyprenol metabolic process (GO:0016093)	1	0	.25	-	 < 0.01	7.76E-01
contractile ring localization (GO:0036214)	2	0	.51	-	 < 0.01	6.02E-01
cysteine biosynthetic process (GO:0019344)	2	0	.51	-	 < 0.01	6.02E-01
reproduction (GO:0000003)	1	0	.25	-	 < 0.01	7.76E-01
denitrification pathway (GO:0019333)	1	0	.25	-	 < 0.01	7.76E-01
rRNA metabolic process (GO:0016072)	4	0	1.01	-	 < 0.01	3.61E-01
protein polymerization (GO:0051258)	1	0	.25	-	 < 0.01	7.76E-01
cellular response to starvation (GO:0009267)	1	0	.25	-	 < 0.01	7.76E-01
response to temperature stimulus (GO:0009266)	1	0	.25	-	 < 0.01	7.76E-01
deoxyribonucleotide catabolic process (GO:0009264)	1	0	.25	-	 < 0.01	7.76E-01
negative regulation of RNA metabolic process (GO:0051253)	2	0	.51	-	 < 0.01	6.02E-01
ribonucleotide catabolic process (GO:0009261)	1	0	.25	-	 < 0.01	7.76E-01
error-prone translesion synthesis (GO:0042276)	1	0	.25	-	 < 0.01	7.76E-01
ribosomal small subunit biogenesis (GO:0042274)	4	0	1.01	-	 < 0.01	3.61E-01
ribosomal large subunit biogenesis (GO:0042273)	1	0	.25	-	 < 0.01	7.76E-01
negative regulation of transcription, DNA-templated (GO:0045892)	2	0	.51	-	 < 0.01	6.02E-01
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	4	0	1.01	-	 < 0.01	3.61E-01
positive regulation of protein metabolic process (GO:0051247)	1	0	.25	-	 < 0.01	7.76E-01
peptidoglycan turnover (GO:0009254)	1	0	.25	-	 < 0.01	7.76E-01
peptidoglycan catabolic process (GO:0009253)	2	0	.51	-	 < 0.01	6.02E-01
glucan catabolic process (GO:0009251)	2	0	.51	-	 < 0.01	6.02E-01
hexose biosynthetic process (GO:0019319)	2	0	.51	-	 < 0.01	6.02E-01
fatty alcohol metabolic process (GO:1903173)	1	0	.25	-	 < 0.01	7.76E-01
GDP-mannose metabolic process (GO:0019673)	1	0	.25	-	 < 0.01	7.76E-01
ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate (GO:0032194)	1	0	.25	-	 < 0.01	7.76E-01
protein lipoylation (GO:0009249)	1	0	.25	-	 < 0.01	7.76E-01
isopentenyl diphosphate biosynthetic process (GO:0009240)	3	0	.76	-	 < 0.01	4.66E-01
ribosome assembly (GO:0042255)	3	0	.76	-	 < 0.01	4.66E-01
ribosome biogenesis (GO:0042254)	8	0	2.03	-	 < 0.01	1.30E-01
menaquinone biosynthetic process (GO:0009234)	4	0	1.01	-	 < 0.01	3.61E-01
menaquinone metabolic process (GO:0009233)	4	0	1.01	-	 < 0.01	3.61E-01
detection of chemical stimulus (GO:0009593)	1	0	.25	-	 < 0.01	7.76E-01
biological process involved in interspecies interaction between organisms (GO:0044419)	1	0	.25	-	 < 0.01	7.76E-01
positive regulation of protein kinase activity (GO:0045860)	1	0	.25	-	 < 0.01	7.76E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	2	0	.51	-	 < 0.01	6.02E-01
phosphate ion transmembrane transport (GO:0035435)	1	0	.25	-	 < 0.01	7.76E-01
peptidyl-lysine modification (GO:0018205)	1	0	.25	-	 < 0.01	7.76E-01
copper ion transmembrane transport (GO:0035434)	1	0	.25	-	 < 0.01	7.76E-01
thiamine diphosphate biosynthetic process (GO:0009229)	2	0	.51	-	 < 0.01	6.02E-01
peptidyl-histidine modification (GO:0018202)	1	0	.25	-	 < 0.01	7.76E-01
thiamine biosynthetic process (GO:0009228)	3	0	.76	-	 < 0.01	4.66E-01
protein carbamoylation (GO:0046944)	1	0	.25	-	 < 0.01	7.76E-01
carboxylic acid transport (GO:0046942)	1	0	.25	-	 < 0.01	7.76E-01
pyrimidine ribonucleotide catabolic process (GO:0009222)	1	0	.25	-	 < 0.01	7.76E-01
regulation of protein kinase activity (GO:0045859)	1	0	.25	-	 < 0.01	7.76E-01
response to starvation (GO:0042594)	1	0	.25	-	 < 0.01	7.76E-01
protein localization to endoplasmic reticulum (GO:0070972)	2	0	.51	-	 < 0.01	6.02E-01
CDP-diacylglycerol biosynthetic process (GO:0016024)	1	0	.25	-	 < 0.01	7.76E-01
multi-organism cellular process (GO:0044764)	1	0	.25	-	 < 0.01	7.76E-01
protein insertion into membrane (GO:0051205)	1	0	.25	-	 < 0.01	7.76E-01
response to chemical (GO:0042221)	7	0	1.77	-	 < 0.01	1.68E-01
response to oxygen radical (GO:0000305)	1	0	.25	-	 < 0.01	7.76E-01
response to superoxide (GO:0000303)	1	0	.25	-	 < 0.01	7.76E-01
response to reactive oxygen species (GO:0000302)	1	0	.25	-	 < 0.01	7.76E-01
shikimate metabolic process (GO:0019632)	1	0	.25	-	 < 0.01	7.76E-01
alditol phosphate metabolic process (GO:0052646)	1	0	.25	-	 < 0.01	7.76E-01
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209)	2	0	.51	-	 < 0.01	6.02E-01
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208)	2	0	.51	-	 < 0.01	6.02E-01
cellular modified amino acid catabolic process (GO:0042219)	2	0	.51	-	 < 0.01	6.02E-01
terpene metabolic process (GO:0042214)	1	0	.25	-	 < 0.01	7.76E-01
propionate catabolic process, 2-methylcitrate cycle (GO:0019629)	1	0	.25	-	 < 0.01	7.76E-01
short-chain fatty acid catabolic process (GO:0019626)	1	0	.25	-	 < 0.01	7.76E-01
charged-tRNA amino acid modification (GO:0019988)	1	0	.25	-	 < 0.01	7.76E-01
translesion synthesis (GO:0019985)	1	0	.25	-	 < 0.01	7.76E-01
activation of protein kinase activity (GO:0032147)	1	0	.25	-	 < 0.01	7.76E-01
cellular transition metal ion homeostasis (GO:0046916)	1	0	.25	-	 < 0.01	7.76E-01
diol biosynthetic process (GO:0034312)	1	0	.25	-	 < 0.01	7.76E-01
diol metabolic process (GO:0034311)	1	0	.25	-	 < 0.01	7.76E-01
defense response to symbiont (GO:0140546)	1	0	.25	-	 < 0.01	7.76E-01
dicarboxylic acid catabolic process (GO:0043649)	1	0	.25	-	 < 0.01	7.76E-01
secretion (GO:0046903)	3	0	.76	-	 < 0.01	4.66E-01
primary alcohol metabolic process (GO:0034308)	1	0	.25	-	 < 0.01	7.76E-01
tetrahydrofolylpolyglutamate biosynthetic process (GO:0046901)	1	0	.25	-	 < 0.01	7.76E-01
tetrahydrofolylpolyglutamate metabolic process (GO:0046900)	1	0	.25	-	 < 0.01	7.76E-01
base-excision repair, DNA ligation (GO:0006288)	1	0	.25	-	 < 0.01	7.76E-01
base-excision repair, AP site formation (GO:0006285)	2	0	.51	-	 < 0.01	6.02E-01
pteridine-containing compound biosynthetic process (GO:0042559)	5	0	1.27	-	 < 0.01	2.80E-01
base-excision repair (GO:0006284)	3	0	.76	-	 < 0.01	4.66E-01
nucleoside phosphate catabolic process (GO:1901292)	2	0	.51	-	 < 0.01	6.02E-01
trans-translation-dependent protein tagging (GO:0070930)	1	0	.25	-	 < 0.01	7.76E-01
DNA methylation or demethylation (GO:0044728)	1	0	.25	-	 < 0.01	7.76E-01
regulation of protein modification process (GO:0031399)	1	0	.25	-	 < 0.01	7.76E-01
regulation of DNA replication (GO:0006275)	1	0	.25	-	 < 0.01	7.76E-01
photosystem II stabilization (GO:0042549)	3	0	.76	-	 < 0.01	4.66E-01
trans-translation (GO:0070929)	1	0	.25	-	 < 0.01	7.76E-01
regulation of photosynthesis, light reaction (GO:0042548)	3	0	.76	-	 < 0.01	4.66E-01
positive regulation of metabolic process (GO:0009893)	1	0	.25	-	 < 0.01	7.76E-01
DNA replication initiation (GO:0006270)	2	0	.51	-	 < 0.01	6.02E-01
organelle assembly (GO:0070925)	3	0	.76	-	 < 0.01	4.66E-01
asexual reproduction (GO:0019954)	1	0	.25	-	 < 0.01	7.76E-01
ncRNA 3'-end processing (GO:0043628)	1	0	.25	-	 < 0.01	7.76E-01
cellular protein complex disassembly (GO:0043624)	3	0	.76	-	 < 0.01	4.66E-01
DNA replication, synthesis of RNA primer (GO:0006269)	3	0	.76	-	 < 0.01	4.66E-01
DNA unwinding involved in DNA replication (GO:0006268)	2	0	.51	-	 < 0.01	6.02E-01
DNA ligation (GO:0006266)	1	0	.25	-	 < 0.01	7.76E-01
DNA topological change (GO:0006265)	3	0	.76	-	 < 0.01	4.66E-01
carbohydrate derivative transport (GO:1901264)	1	0	.25	-	 < 0.01	7.76E-01
RNA 5'-end processing (GO:0000966)	1	0	.25	-	 < 0.01	7.76E-01
negative regulation of inorganic anion transmembrane transport (GO:1903796)	1	0	.25	-	 < 0.01	7.76E-01
regulation of inorganic anion transmembrane transport (GO:1903795)	1	0	.25	-	 < 0.01	7.76E-01
negative regulation of anion transport (GO:1903792)	1	0	.25	-	 < 0.01	7.76E-01
establishment of protein localization to membrane (GO:0090150)	3	0	.76	-	 < 0.01	4.66E-01
pyrimidine nucleotide catabolic process (GO:0006244)	1	0	.25	-	 < 0.01	7.76E-01
N-terminal protein amino acid modification (GO:0031365)	1	0	.25	-	 < 0.01	7.76E-01
CTP biosynthetic process (GO:0006241)	2	0	.51	-	 < 0.01	6.02E-01
cellular response to reactive oxygen species (GO:0034614)	1	0	.25	-	 < 0.01	7.76E-01
ornithine biosynthetic process (GO:0006592)	1	0	.25	-	 < 0.01	7.76E-01
ribosome disassembly (GO:0032790)	2	0	.51	-	 < 0.01	6.02E-01
UDP biosynthetic process (GO:0006225)	1	0	.25	-	 < 0.01	7.76E-01
lipid glycosylation (GO:0030259)	1	0	.25	-	 < 0.01	7.76E-01
protein secretion by the type I secretion system (GO:0030253)	1	0	.25	-	 < 0.01	7.76E-01
negative regulation of RNA biosynthetic process (GO:1902679)	2	0	.51	-	 < 0.01	6.02E-01
sporulation (GO:0043934)	2	0	.51	-	 < 0.01	6.02E-01
tyrosine biosynthetic process (GO:0006571)	1	0	.25	-	 < 0.01	7.76E-01
tyrosine metabolic process (GO:0006570)	1	0	.25	-	 < 0.01	7.76E-01
DNA methylation on adenine (GO:0032775)	1	0	.25	-	 < 0.01	7.76E-01
threonine metabolic process (GO:0006566)	4	0	1.01	-	 < 0.01	3.61E-01
positive regulation of cellular metabolic process (GO:0031325)	1	0	.25	-	 < 0.01	7.76E-01
proline biosynthetic process (GO:0006561)	2	0	.51	-	 < 0.01	6.02E-01
proline metabolic process (GO:0006560)	2	0	.51	-	 < 0.01	6.02E-01
division septum site selection (GO:0000918)	1	0	.25	-	 < 0.01	7.76E-01
division septum assembly (GO:0000917)	4	0	1.01	-	 < 0.01	3.61E-01
cytokinesis (GO:0000910)	5	0	1.27	-	 < 0.01	2.80E-01
L-phenylalanine catabolic process (GO:0006559)	1	0	.25	-	 < 0.01	7.76E-01
L-phenylalanine metabolic process (GO:0006558)	2	0	.51	-	 < 0.01	6.02E-01
lysine metabolic process (GO:0006553)	6	0	1.52	-	 < 0.01	2.17E-01
leucine metabolic process (GO:0006551)	5	0	1.27	-	 < 0.01	2.80E-01
heme transport (GO:0015886)	1	0	.25	-	 < 0.01	7.76E-01
cellular response to nutrient levels (GO:0031669)	1	0	.25	-	 < 0.01	7.76E-01
response to nutrient levels (GO:0031667)	1	0	.25	-	 < 0.01	7.76E-01
cysteine biosynthetic process from serine (GO:0006535)	2	0	.51	-	 < 0.01	6.02E-01
cysteine metabolic process (GO:0006534)	2	0	.51	-	 < 0.01	6.02E-01
regulation of protein stability (GO:0031647)	1	0	.25	-	 < 0.01	7.76E-01
regulation of cell septum assembly (GO:1901891)	2	0	.51	-	 < 0.01	6.02E-01
positive regulation of molecular function (GO:0044093)	1	0	.25	-	 < 0.01	7.76E-01
cellular iron ion homeostasis (GO:0006879)	1	0	.25	-	 < 0.01	7.76E-01
cellular metal ion homeostasis (GO:0006875)	1	0	.25	-	 < 0.01	7.76E-01
cellular ion homeostasis (GO:0006873)	2	0	.51	-	 < 0.01	6.02E-01
regulation of vacuole organization (GO:0044088)	1	0	.25	-	 < 0.01	7.76E-01
regulation of cellular component biogenesis (GO:0044087)	2	0	.51	-	 < 0.01	6.02E-01
organic acid transport (GO:0015849)	1	0	.25	-	 < 0.01	7.76E-01
amino acid transport (GO:0006865)	1	0	.25	-	 < 0.01	7.76E-01
regulation of anion transport (GO:0044070)	1	0	.25	-	 < 0.01	7.76E-01
terpene biosynthetic process (GO:0046246)	1	0	.25	-	 < 0.01	7.76E-01
response to zinc ion (GO:0010043)	1	0	.25	-	 < 0.01	7.76E-01
lipid-linked peptidoglycan transport (GO:0015836)	1	0	.25	-	 < 0.01	7.76E-01
peptidoglycan transport (GO:0015835)	1	0	.25	-	 < 0.01	7.76E-01
response to metal ion (GO:0010038)	1	0	.25	-	 < 0.01	7.76E-01
tRNA wobble position uridine thiolation (GO:0002143)	1	0	.25	-	 < 0.01	7.76E-01
response to inorganic substance (GO:0010035)	2	0	.51	-	 < 0.01	6.02E-01
thylakoid membrane organization (GO:0010027)	1	0	.25	-	 < 0.01	7.76E-01
isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway (GO:0019288)	3	0	.76	-	 < 0.01	4.66E-01
ribonucleoprotein complex assembly (GO:0022618)	3	0	.76	-	 < 0.01	4.66E-01
ribonucleoprotein complex biogenesis (GO:0022613)	8	0	2.03	-	 < 0.01	1.30E-01
biological adhesion (GO:0022610)	1	0	.25	-	 < 0.01	7.76E-01
peptidyl-alanine modification (GO:0018194)	1	0	.25	-	 < 0.01	7.76E-01
L-amino acid transport (GO:0015807)	1	0	.25	-	 < 0.01	7.76E-01
protein localization to extracellular region (GO:0071692)	3	0	.76	-	 < 0.01	4.66E-01
branched-chain amino acid transport (GO:0015803)	1	0	.25	-	 < 0.01	7.76E-01
iron ion transport (GO:0006826)	1	0	.25	-	 < 0.01	7.76E-01
copper ion transport (GO:0006825)	1	0	.25	-	 < 0.01	7.76E-01
defense response to other organism (GO:0098542)	1	0	.25	-	 < 0.01	7.76E-01
phosphate ion transport (GO:0006817)	2	0	.51	-	 < 0.01	6.02E-01
sodium ion transport (GO:0006814)	1	0	.25	-	 < 0.01	7.76E-01
